source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
Adema FACB; Bolman J; Heel HP van; Ooststroom SJ van	Heel HP van	parsed:Facb van Adema<SEP>J. Bolman<SEP>Heel HP van<SEP>S.J. Ooststroom	cleaned:Facb van Adema<SEP>J. Bolman<SEP><SEP>S.J. Ooststroom	cleaned_0index:2
Adema FACB; Heel HP van; Troelstra AS	Heel HP van	parsed:Adema FACB<SEP>Heel HP van<SEP>A.S. Troelstra	cleaned:Adema Facb<SEP><SEP>A.S. Troelstra	cleaned_0index:1
Adema FACB; Langhe JE de; Hose R D'	Langhe JE de	parsed:Adema FACB<SEP>Langhe JE de<SEP>D.' Hose R	cleaned:Adema Facb<SEP><SEP>D.' Hose R	cleaned_0index:1
Adema FACB; Unreadable	Unreadable	parsed:Adema FACB<SEP>Unreadable	cleaned:Adema Facb<SEP>	cleaned_0index:1
Adema FACB; Zaterdagexcursie	Zaterdagexcursie	parsed:Adema FACB<SEP>Zaterdagexcursie	cleaned:Adema Facb<SEP>	cleaned_0index:1
Aet; Expeditie Lundquist	Expeditie Lundquist	parsed:Aet<SEP>Expeditie Lundquist	cleaned:Aet<SEP>	cleaned_0index:1
Aet; Expeditie Lundquist E	Expeditie Lundquist E	parsed:Aet<SEP>Expeditie Lundquist E	cleaned:Aet<SEP>	cleaned_0index:1
Ag. Staff	Ag. Staff	parsed:Ag. Staff		cleaned_0index:0
Agnew ADQ; Hanid MA; Part II Botany Class				cleaned_0index:0
Agnew ADQ; Part I Botany	Part I Botany	parsed:A.D.Q. Agnew<SEP>Part I Botany	cleaned:A.D.Q. Agnew<SEP>	cleaned_0index:1
Agnew ADQ; Part III Botany				cleaned_0index:0
Agnew ADQ; Timberlake JR				cleaned_0index:0
Agric. Dept.	Agric. Dept.	parsed:Agric. Dept.		cleaned_0index:0
Agricult Student	Agricult Student	parsed:Agricult Student		cleaned_0index:0
Agricultural Department	Agricultural Department	parsed:Agricultural Department		cleaned_0index:0
Agruda Jr F				cleaned_0index:0
Agthoven van; Wieffering JH; Zandee M	Agthoven van	parsed:Agthoven van<SEP>J.H. Wieffering<SEP>M. Zandee	cleaned:<SEP>J.H. Wieffering<SEP>M. Zandee	cleaned_0index:0
Aguiar Macêdo JM de; Balsinhas AA	Aguiar Macêdo JM de	parsed:Aguiar Macêdo JM de<SEP>A.A. Balsinhas	cleaned:<SEP>A.A. Balsinhas	cleaned_0index:0
Aguiar Macêdo JM de; Macuácua L	Aguiar Macêdo JM de	parsed:Aguiar Macêdo JM de<SEP>L. Macuácua	cleaned:<SEP>L. Macuácua	cleaned_0index:0
