occurrenceID,verbatimName,alternateName,displayOrder,name,agentType,action,agentIdentifierType,attributionRemarks,identifier
https://herbarium.bgbm.org/object/B100241284,"Rollins,R.C. & Correll,D.S.",D.S. Correll,0,Donovan Stewart Correll,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q1242094
https://herbarium.bgbm.org/object/B101189069,"Orell,J.C. & Cortés,G.",G. Cortés,0,Gilberto Cortés,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q26714033
http://id.snsb.info/snsb/collection/16109/24852/15929,"Cosson, E. (no. 3429)",E. Cosson,0,Ernest Cosson,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q1276939
https://herbarium.bgbm.org/object/B100394100,"Costa,F.N. & Fiaschi,P.",F.N. Costa,0,Fabiane Nepomuceno Costa,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q19765935
http://id.snsb.info/snsb/collection/25244/34022/24808,"Coste, H.",H. Coste,0,Hippolyte Coste,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q616064
https://herbarium.bgbm.org/object/B100244923,"Cotton,J.S.",J.S. Cotton,0,John Storrs Cotton,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509152
https://herbarium.bgbm.org/object/B100279181,"Court,A.B.",A.B. Court,0,Arthur Bertram Court,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21388029
https://herbarium.bgbm.org/object/B100525772,"Courtois,R.J.",R.J. Courtois,0,Richard Joseph Courtois,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q4248931
https://herbarium.bgbm.org/object/B100057812,"Cousturier,P.",P. Cousturier,0,Paul Cousturier,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q7149988
https://herbarium.bgbm.org/object/B100277875,"Tindale,M.D., Coveny,R.G. & Kater,P.",R.G. Coveny,0,Robert George Coveny,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q99659037
https://herbarium.bgbm.org/object/B100295344,"Coville,F.V. & Funston,F.",F.V. Coville,0,Frederick Vernon Coville,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q535104
https://herbarium.bgbm.org/object/B100248797,"Cowan,C.P.  & Nixon,K.C.",C.P. Cowan,0,C.P. Cowan,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q18983976
http://id.snsb.info/snsb/collection/456852/557850/236329,"Cowan, R.S. (no. 1475)",R.S. Cowan,0,Richard Sumner Cowan,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q6108714
https://herbarium.bgbm.org/object/B100086152,"Britten,N.L., Britten,E.G. & Cowell,J.F.",J.F. Cowell,0,John F. Cowell,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q6232235
https://herbarium.bgbm.org/object/B100431774,"Cowie,I.D. & Stuckey,B.M.",I.D. Cowie,0,Ian Donald Cowie,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q18983983
https://herbarium.bgbm.org/object/B100093764,"Coşkunçelebi,K.",K. Coşkunçelebi,0,Kamil Coșkunçelebi,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21387800
https://herbarium.bgbm.org/object/B100629976,"Craig-Christie,A.",A. Craig-Christie,0,Alexander Craig-Christie,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q117459760
https://herbarium.bgbm.org/object/B101129176,"Cannon,P.F., Crane,P.R., Jury,S.L. & Moore,D.M.",P.R. Crane,0,Peter Robert Crane,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q59603723
http://id.snsb.info/snsb/collection/667927/726537/374200,"Cranfield, R.J.",R.J. Cranfield,0,Raymond Jeffrey Cranfield,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q19263359
https://herbarium.bgbm.org/object/B100185950,"Cratty,R.I.",R.I. Cratty,0,Robert Irvin Cratty,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509223
http://id.snsb.info/snsb/collection/472607/581896/253691,"Craven, L.A.",L.A. Craven,0,Lyndley Alan Craven,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q6708677
https://herbarium.bgbm.org/object/B100248204,"Granville,J.-J. de, Allorge,L., Cremers,G., Görts-van-Rijn,A.R.A. & Kodjoed-Bonneton,J.F.",G. Cremers,0,Georges Cremers,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q2874567
https://herbarium.bgbm.org/object/B600166410,"Follmann,G. & Crespo,A.",A. Crespo,0,Ana Crespo,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21339702
https://herbarium.bgbm.org/object/B100271300,"Cretzoiu,P.",P. Cretzoiu,0,Paul Cretzoiu,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q6067147
https://herbarium.bgbm.org/object/B100121132,"Cristurean,I.",I. Cristurean,0,Ioan Cristurean,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509519
http://id.snsb.info/snsb/collection/501065/622284/279868,"Croat, T.B. (no. 43439)",T.B. Croat,0,Thomas Bernard Croat,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q1829652
http://id.snsb.info/snsb/collection/455223/555751/234703,"Croft, J.R. (no. LAE 68597)",J.R. Croft,0,James R. Croft,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q18983998
https://herbarium.bgbm.org/object/B310166025b,"Crome,G.E.W.",G.E.W. Crome,0,Georg Ernst Wilhelm Crome,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q1431105
https://herbarium.bgbm.org/object/B100020105,"Cron,G.V.",G.V. Cron,0,Glynis V. Cron,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q19815588
https://je.jacq.org/JE04003107,"Pócs,T., Crosby,M. & Crosby,C.",M. Crosby,0,Maunsell Crosby,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q17479063
https://je.jacq.org/JE04006808,"Crosby,M.R. & Crosby,C.A.",M.R. Crosby,0,Marshall Robert Crosby,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21388002
https://herbarium.bgbm.org/object/B101112088,"Hammel,B., Pérez,I., Morales,J.F. & Crow,G.E.",G.E. Crow,0,Garrett E. Crow,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509564
https://herbarium.bgbm.org/object/B100759244,"Rodríguez,D., Torres,M. & Cruz,M.",M. Cruz,0,Miguel Ángel Cruz,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q47115882
https://je.jacq.org/JE00001837,"González-Torres,L.R., Palmarola,A. & Cruz,D.",D. Cruz,0,Dario Cruz,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q88818123
https://herbarium.bgbm.org/object/B100031238,"Cruz,R.",R. Cruz,0,R. Cruz,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q88846462
https://je.jacq.org/JE00012811,"Crépin,F.",F. Crépin,0,François Crépin,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q1450997
https://herbarium.bgbm.org/object/B200094886,"Crüger,H. & Purdie,W.",H. Crüger,0,Hermann Crüger,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q20987271
https://dr.jacq.org/DR060917,"Borbás,V. von & Csató,J.",J. Csató,0,János Csató,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q20478891
https://dr.jacq.org/DR060917,"Borbás,V. von & Csató,J.",J. Csató,1,J. Csató,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509590
https://herbarium.bgbm.org/object/B100011244,"Cuatrecasas,J., Font Quer,P. & Gros,E.",J. Cuatrecasas,0,José Cuatrecasas,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q3088960
https://herbarium.bgbm.org/object/B100390262,"Cuccuini,P. & Luccioli,E.",P. Cuccuini,0,Piero Cuccuini,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509607
https://herbarium.bgbm.org/object/B100522498,"Zenteno-Ruiz,F. & Cuevas,R.",R. Cuevas,0,Ramón Cuevas,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q13501784
https://herbarium.bgbm.org/object/B101097428,"Cuezzo,A.R. & Barkley,F.",A.R. Cuezzo,0,Alberto Reolindo Cuezzo,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q33668189
https://herbarium.bgbm.org/object/B200157122,"Cufodontis,G.",G. Cufodontis,0,Georg Cufodontis,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q88771
https://je.jacq.org/JE04005380,"Culmann,P.F.",P.F. Culmann,0,Paul Frédéric Culmann,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509626
http://id.snsb.info/snsb/collection/195395/479375/177171,"Cuming, H. (no. 460)",H. Cuming,0,Hugh Cuming,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q718866
https://herbarium.bgbm.org/object/B180005046,"Cummins,H.A.",H.A. Cummins,0,Henry Alfred Cummins,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21390656
http://id.snsb.info/snsb/collection/455222/555750/234702,"Cunningham, A.",A. Cunningham,0,Allan Cunningham,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q545888
https://herbarium.bgbm.org/object/B100326671,"Holzapfel,A.S. & Cunningham,D.D.",D.D. Cunningham,0,Darrell Dean Cunningham,Person,collected,wikidata,1.0 (cos similarity),http://www.wikidata.org/entity/Q21509650
