,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_similarity
2,Aaronsohn,A.,,,,,,,"Aaronsohn, A.",3,https://je.jacq.org/JE00010154,2.0,"Aaronsohn, A.","Aaronsohn, A.",1.0
7,Abbe,E.C.,,,,,,,"Abbe, E.C.",2,https://herbarium.bgbm.org/object/B100241637,6.0,"Abbe, E.C.","Abbe, E.C.",1.0
11,Abbott,J.R.,,,,,,,"Abbott, J.R.",80,https://herbarium.bgbm.org/object/B100181131,9.0,"Abbott, J.R.","Abbott, J.R.",1.0
13,Abbott,W.L.,,,,,,,"Abbott, W.L.",4,http://id.snsb.info/snsb/collection/504820/626155/283761,11.0,"Abbott, W.L.","Abbott, W.L.",1.0
21,Abedin,S.,,,,,,,"Abedin, S.",14,https://herbarium.bgbm.org/object/B100046632,14.0,"Abedin, S.","Abedin, S.",1.0
35,Acebey,A.,,,,,,,"Acebey, A.",6,http://id.snsb.info/snsb/collection/719469/786048/423570,22.0,"Acebey, A.","Acebey, A.",1.0
48,Ackermann,M.,,,,,,,"Ackermann, M.",34,http://id.snsb.info/snsb/collection/444683/544886/227537,33.0,"Ackermann, M.","Ackermann, M.",1.0
51,Acocks,J.P.H.,,,,,,,"Acocks, J.P.H.",17,http://id.snsb.info/snsb/collection/15773/24491/15593,35.0,"Acocks, J.P.H.","Acocks, J.P.H.",1.0
53,Acosta,J.M.,,,,,,,"Acosta, J.M.",3,https://herbarium.bgbm.org/object/B101009972,37.0,"Acosta, J.M.","Acosta, J.M.",1.0
54,Acosta,L.,,,,,,,"Acosta, L.",538,https://herbarium.bgbm.org/object/B100542413,38.0,"Acosta, L.","Acosta, L.",1.0
66,Adamović,L.,,,,,,,"Adamović, L.",36,https://je.jacq.org/JE00017664,49.0,"Adamović, L.","Adamović, L.",1.0
67,Adamovič,L.,,,,,,,"Adamovič, L.",3,http://id.snsb.info/snsb/collection/464847/566421/243693,50.0,"Adamovič, L.","Adamović, L.",1.0
70,Adams,C.D.,,,,,,,"Adams, C.D.",7,http://id.snsb.info/snsb/collection/25541/34319/25105,53.0,"Adams, C.D.","Adams, C.D.",1.0
72,Adams,L.G.,,,,,,,"Adams, L.G.",5,https://herbarium.bgbm.org/object/B100365285,55.0,"Adams, L.G.","Adams, L.G.",1.0
76,Adamson,J.,,,,,,,"Adamson, J.",1,https://herbarium.bgbm.org/object/B100057312,59.0,"Adamson, J.","Adamson, J.",1.0
80,Ade,A.,,,,,,,"Ade, A.",4,http://id.snsb.info/snsb/collection/513255/635847/292856,62.0,"Ade, A.","Ade, A.",1.0
92,Adler,W.,,,,,,,"Adler, W.",6,https://herbarium.bgbm.org/object/B101191388,69.0,"Adler, W.","Adler, W.",1.0
94,Adolphi,K.,,,,,,,"Adolphi, K.",3,https://herbarium.bgbm.org/object/B100463717,71.0,"Adolphi, K.","Adolphi, K.",1.0
97,Adıgüzel,N.,,,,,,,"Adıgüzel, N.",1,https://je.jacq.org/JE00013121,72.0,"Adıgüzel, N.","Adıgüzel, N.",1.0
99,Aedo,C.,,,,,,,"Aedo, C.",53,https://herbarium.bgbm.org/object/B101037507,74.0,"Aedo, C.","Aedo, C.",1.0
100,Aellen,P.,,,,,,,"Aellen, P.",66,http://id.snsb.info/snsb/collection/459127/559829/237976,75.0,"Aellen, P.","Aellen, P.",1.0
107,Afonina,O.M.,,,,,,,"Afonina, O.M.",2,https://je.jacq.org/JE04009152,80.0,"Afonina, O.M.","Afonina, O.M.",1.0
111,Afzelius,A.,,,,,,,"Afzelius, A.",11,https://herbarium.bgbm.org/object/B100068937,82.0,"Afzelius, A.","Afzelius, A.",1.0
116,Agnew,A.D.Q.,,,,,,,"Agnew, A.D.Q.",2,https://herbarium.bgbm.org/object/B100217805,87.0,"Agnew, A.D.Q.","Agnew, A.D.Q.",1.0
119,Aguiar,C.,,,,,,,"Aguiar, C.",1,https://herbarium.bgbm.org/object/B101137576,89.0,"Aguiar, C.","Aguiar, C.",1.0
124,Aguilar,J.,,,,,,,"Aguilar, J.",27,https://herbarium.bgbm.org/object/B100043178,94.0,"Aguilar, J.","Aguilar, J.",1.0
129,Aguilar,R.,,,,,,,"Aguilar, R.",126,https://herbarium.bgbm.org/object/B100459555,99.0,"Aguilar, R.","Aguilar, R.",1.0
130,Aguilella,A.,,,,,,,"Aguilella, A.",4,https://herbarium.bgbm.org/object/B100358370,100.0,"Aguilella, A.","Aguilella, A.",1.0
135,Aguirre,J.,,,,,,,"Aguirre, J.",4,https://herbarium.bgbm.org/object/B300230830,105.0,"Aguirre, J.","Aguirre, J.",1.0
139,Ahern,G.P.,,,,,,,"Ahern, G.P.",3,http://id.snsb.info/snsb/collection/645990/701050/351640,108.0,"Ahern, G.P.","Ahern, G.P.",1.0
146,Ahles,H.E.,,,,,,,"Ahles, H.E.",1,https://herbarium.bgbm.org/object/B101224042,115.0,"Ahles, H.E.","Ahles, H.E.",1.0
149,Ahmad,N.,,,,,,,"Ahmad, N.",2,https://herbarium.bgbm.org/object/B100848610,117.0,"Ahmad, N.","Ahmad, N.",1.0
150,Ahmad,S.,,,,,,,"Ahmad, S.",4,https://herbarium.bgbm.org/object/B101097885,118.0,"Ahmad, S.","Ahmad, S.",1.0
155,Ahti,T.T.,,,,,,,"Ahti, T.T.",15,https://herbarium.bgbm.org/object/B600325604,123.0,"Ahti, T.T.","Ahti, T.T.",1.0
156,Ahumada,L.Z.,,,,,,,"Ahumada, L.Z.",1,http://id.snsb.info/snsb/collection/512566/635026/292131,124.0,"Ahumada, L.Z.","Ahumada, L.Z.",1.0
165,Aitchison,J.E.T.,,,,,,,"Aitchison, J.E.T.",19,http://id.snsb.info/snsb/collection/469029/575332/247981,130.0,"Aitchison, J.E.T.","Aitchison, J.E.T.",1.0
167,Aiton,G.B.,,,,,,,"Aiton, G.B.",1,https://dr.jacq.org/DR050107,132.0,"Aiton, G.B.","Aiton, G.B.",1.0
168,Aiton,W.T.,,,,,,,"Aiton, W.T.",1,https://herbarium.bgbm.org/object/BW19753010,133.0,"Aiton, W.T.","Aiton, W.T.",1.0
174,Akan,H.,,,,,,,"Akan, H.",1,https://herbarium.bgbm.org/object/B100009765,136.0,"Akan, H.","Çakan, H.",1.0
178,Akeroyd,J.R.,,,,,,,"Akeroyd, J.R.",7,https://herbarium.bgbm.org/object/B100025123,139.0,"Akeroyd, J.R.","Akeroyd, J.R.",1.0
179,Akhani,H.,,,,,,,"Akhani, H.",18,http://id.snsb.info/snsb/collection/118034/176834/119064,140.0,"Akhani, H.","Akhani, H.",1.0
185,Akiyama,H.,,,,,,,"Akiyama, H.",1,https://je.jacq.org/JE04009352,146.0,"Akiyama, H.","Akiyama, H.",1.0
186,Akopian,J.,,,,,,,"Akopian, J.",140,https://herbarium.bgbm.org/object/B100506411,147.0,"Akopian, J.","Akopian, J.",1.0
190,Al Gifri,A.N.,,,,,,,"Al Gifri, A.N.",73,https://herbarium.bgbm.org/object/B100132290,150.0,"Al Gifri, A.N.","Al-Gifri, A.N.",1.0
196,Al-Gifri,A.N.,,,,,,,"Al-Gifri, A.N.",272,https://herbarium.bgbm.org/object/B100140651,153.0,"Al-Gifri, A.N.","Al-Gifri, A.N.",1.0
220,Albert,A.,,,,,,,"Albert, A.",1,https://je.jacq.org/JE00007598,166.0,"Albert, A.","Albert, A.",1.0
221,Albert,R.,,,,,,,"Albert, R.",2,https://herbarium.bgbm.org/object/B100650533,167.0,"Albert, R.","Albert, R.",1.0
228,Albo,G.,,,,,,,"Albo, G.",1,http://id.snsb.info/snsb/collection/459414/560115/238263,172.0,"Albo, G.","Albo, G.",1.0
232,Albov,N.M.,,,,,,,"Albov, N.M.",7,https://je.jacq.org/JE00003269,175.0,"Albov, N.M.","Albov, N.M.",1.0
234,Albrecht,D.E.,,,,,,,"Albrecht, D.E.",1,http://id.snsb.info/snsb/collection/475169/585023/256395,177.0,"Albrecht, D.E.","Albrecht, D.E.",1.0
245,Aldasoro,J.J.,,,,,,,"Aldasoro, J.J.",11,https://herbarium.bgbm.org/object/B101042604,187.0,"Aldasoro, J.J.","Aldasoro, J.J.",1.0
251,Alejandre,J.A.,,,,,,,"Alejandre, J.A.",3,https://herbarium.bgbm.org/object/B101135657,191.0,"Alejandre, J.A.","Alejandre, J.A.",1.0
260,Alexander,D.,,,,,,,"Alexander, D.",11,https://herbarium.bgbm.org/object/B100037054,199.0,"Alexander, D.","Alexander, D.",1.0
273,Alfaro,E.,,,,,,,"Alfaro, E.",310,https://herbarium.bgbm.org/object/B100459206,212.0,"Alfaro, E.","Alfaro, E.",1.0
278,Alford,M.H.,,,,,,,"Alford, M.H.",1,https://herbarium.bgbm.org/object/B100161498,217.0,"Alford, M.H.","Alford, M.H.",1.0
285,Allard,G.,,,,,,,"Allard, G.",1,https://herbarium.bgbm.org/object/B100256202,221.0,"Allard, G.","Allard, G.",1.0
290,Allen,B.H.,,,,,,,"Allen, B.H.",1,https://je.jacq.org/JE04008163,226.0,"Allen, B.H.","Allen, B.H.",1.0
293,Allen,O.D.,,,,,,,"Allen, O.D.",7,http://id.snsb.info/snsb/collection/455533/556061/235013,229.0,"Allen, O.D.","Allen, O.D.",1.0
294,Allen,P.H.,,,,,,,"Allen, P.H.",6,http://id.snsb.info/snsb/collection/479594/590636/260573,230.0,"Allen, P.H.","Allen, P.H.",1.0
297,Allioni,C.,,,,,,,"Allioni, C.",14,http://id.snsb.info/snsb/collection/458948/559647/237797,233.0,"Allioni, C.","Allioni, C.",1.0
299,Allison,K.W.,,,,,,,"Allison, K.W.",28,https://je.jacq.org/JE04003027,235.0,"Allison, K.W.","Allison, K.W.",1.0
300,Allorge,L.,,,,,,,"Allorge, L.",5,https://herbarium.bgbm.org/object/B100144997,236.0,"Allorge, L.","Allorge, L.",1.0
301,Allorge,P.,,,,,,,"Allorge, P.",1,https://je.jacq.org/JE04004935,237.0,"Allorge, P.","Allorge, P.",1.0
303,Allred,K.,,,,,,,"Allred, K.",1,http://id.snsb.info/snsb/collection/445763/546159/228663,238.0,"Allred, K.","Allred, K.",1.0
307,Almborn,O.,,,,,,,"Almborn, O.",1,https://dr.jacq.org/DR058081,241.0,"Almborn, O.","Almborn, O.",1.0
308,Almeda,F.,,,,,,,"Almeda, F.",4,http://id.snsb.info/snsb/collection/119070/177869/120015,242.0,"Almeda, F.","Almeda, F.",1.0
314,Almquist,S.O.I.,,,,,,,"Almquist, S.O.I.",2,http://id.snsb.info/snsb/collection/118876/177675/119826,247.0,"Almquist, S.O.I.","Almquist, S.O.I.",1.0
321,Alschinger,A.,,,,,,,"Alschinger, A.",18,https://herbarium.bgbm.org/object/B100749399,253.0,"Alschinger, A.","Alschinger, A.",1.0
5,Alschinger,Andreas,,,,,,,"Alschinger, Andreas",1,https://herbarium.bgbm.org/object/B100749292,5.0,"Alschinger, Andreas","Alschinger, Andreas",1.0
325,Alston,A.H.G.,,,,,,,"Alston, A.H.G.",1,https://herbarium.bgbm.org/object/B200075338,254.0,"Alston, A.H.G.","Alston, A.H.G.",1.0
326,Alstrup,V.,,,,,,,"Alstrup, V.",5,https://herbarium.bgbm.org/object/B100017157,255.0,"Alstrup, V.","Alstrup, V.",1.0
354,Alverson,W.S.,,,,,,,"Alverson, W.S.",1,https://herbarium.bgbm.org/object/B100244022,281.0,"Alverson, W.S.","Alverson, W.S.",1.0
355,Alziar,G.,,,,,,,"Alziar, G.",56,https://herbarium.bgbm.org/object/B100190610,282.0,"Alziar, G.","Alziar, G.",1.0
359,Amakawa,T.,,,,,,,"Amakawa, T.",4,https://je.jacq.org/JE04009980,285.0,"Amakawa, T.","Amakawa, T.",1.0
360,Amann,J.J.,,,,,,,"Amann, J.J.",2,https://je.jacq.org/JE04001380,286.0,"Amann, J.J.","Amann, J.J.",1.0
368,Ambrosi,F.,,,,,,,"Ambrosi, F.",2,https://je.jacq.org/JE00016407,293.0,"Ambrosi, F.","Ambrosi, F.",1.0
372,Amdjah,,,,,,,,Amdjah,3,https://herbarium.bgbm.org/object/B100272313,296.0,Amdjah,Amdjah,1.0
377,Ameghino,C.,,,,,,,"Ameghino, C.",2,https://herbarium.bgbm.org/object/B100386857,297.0,"Ameghino, C.","Ameghino, C.",1.0
380,Ames,M.E.P.,,,,,,,"Ames, M.E.P.",1,https://herbarium.bgbm.org/object/B100294655,299.0,"Ames, M.E.P.","Ames, M.E.P.",1.0
382,Amherst,S.,,,,,,,"Amherst, S.",1,http://id.snsb.info/snsb/collection/501554/622788/280344,301.0,"Amherst, S.","Amherst, S.",1.0
384,Amin,K.S.,,,,,,,"Amin, K.S.",1,http://id.snsb.info/snsb/collection/468914/575217/247866,303.0,"Amin, K.S.","Amin, K.S.",1.0
389,Amorim,A.M.,,,,,,,"Amorim, A.M.",1,http://id.snsb.info/snsb/collection/715187/779565/421007,307.0,"Amorim, A.M.","Amorim, A.M.",1.0
390,Amoroso,,,,,,,,Amoroso,1,https://herbarium.bgbm.org/object/B100244265,308.0,Amoroso,Amoroso,1.0
391,Amshoff,G.J.H.,,,,,,,"Amshoff, G.J.H.",1,https://herbarium.bgbm.org/object/B100629912,309.0,"Amshoff, G.J.H.","Amshoff, G.J.H.",1.0
404,Anders,J.,,,,,,,"Anders, J.",3,https://herbarium.bgbm.org/object/B100296443,316.0,"Anders, J.","Anders, J.",1.0
405,Anders,O.,,,,,,,"Anders, O.",53,http://id.snsb.info/snsb/collection/117840/176640/118893,317.0,"Anders, O.","Anders, O.",1.0
411,Anderson,C.L.,,,,,,,"Anderson, C.L.",1,https://herbarium.bgbm.org/object/B100241523,323.0,"Anderson, C.L.","Anderson, C.L.",1.0
417,Anderson,J.,,,,,,,"Anderson, J.",2,http://id.snsb.info/snsb/collection/118020/176820/119051,328.0,"Anderson, J.","Anderson, J.",1.0
418,Anderson,J.L.,,,,,,,"Anderson, J.L.",1,https://herbarium.bgbm.org/object/B100161702,329.0,"Anderson, J.L.","Anderson, J.L.",1.0
419,Anderson,R.,,,,,,,"Anderson, R.",1,https://herbarium.bgbm.org/object/B700004761,330.0,"Anderson, R.","Anderson, R.",1.0
421,Anderson,T.,,,,,,,"Anderson, T.",6,http://id.snsb.info/snsb/collection/467615/571969/246567,332.0,"Anderson, T.","Anderson, T.",1.0
422,Anderson,W.,,,,,,,"Anderson, W.",6,https://herbarium.bgbm.org/object/B101147325,333.0,"Anderson, W.","Anderson, W.",1.0
423,Anderson,W.R.,,,,,,,"Anderson, W.R.",7,http://id.snsb.info/snsb/collection/25690/34468/25254,334.0,"Anderson, W.R.","Anderson, W.R.",1.0
425,Andersson,A.,,,,,,,"Andersson, A.",7,https://herbarium.bgbm.org/object/B100212980,336.0,"Andersson, A.","Andersson, A.",1.0
429,Andersson,L.,,,,,,,"Andersson, L.",3,https://herbarium.bgbm.org/object/B100093708II,340.0,"Andersson, L.","Andersson, L.",1.0
430,Andersson,N.J.,,,,,,,"Andersson, N.J.",21,http://id.snsb.info/snsb/collection/472780/582069/253864,341.0,"Andersson, N.J.","Andersson, N.J.",1.0
433,Ando,H.,,,,,,,"Ando, H.",2,https://je.jacq.org/JE04009993,344.0,"Ando, H.","Ando, H.",1.0
439,Andrade,G.,,,,,,,"Andrade, G.",1,http://id.snsb.info/snsb/collection/520794/644324/302506,348.0,"Andrade, G.","Andrade, G.",1.0
447,Andreas,C.H.,,,,,,,"Andreas, C.H.",315,https://herbarium.bgbm.org/object/B100648544,356.0,"Andreas, C.H.","Andreas, C.H.",1.0
450,Andreev,N.,,,,,,,"Andreev, N.",4,https://herbarium.bgbm.org/object/B100076176,359.0,"Andreev, N.","Andreev, N.",1.0
454,Andres,H.,,,,,,,"Andres, H.",12,https://herbarium.bgbm.org/object/B100591943,363.0,"Andres, H.","Andres, H.",1.0
456,Andrews,F.W.,,,,,,,"Andrews, F.W.",1,https://je.jacq.org/JE04008568,365.0,"Andrews, F.W.","Andrews, F.W.",1.0
457,Andreánszky,G.,,,,,,,"Andreánszky, G.",2,https://dr.jacq.org/DR066417,366.0,"Andreánszky, G.","Andreánszky, G.",1.0
458,Andrianarisata,M.,,,,,,,"Andrianarisata, M.",1,http://id.snsb.info/snsb/collection/504196/625465/282973,367.0,"Andrianarisata, M.","Andrianarisata, M.",1.0
459,Andriantiana,J.,,,,,,,"Andriantiana, J.",1,https://herbarium.bgbm.org/object/B100046309,368.0,"Andriantiana, J.","Andriantiana, J.",1.0
461,Andrieux,G.,,,,,,,"Andrieux, G.",76,http://id.snsb.info/snsb/collection/195477/479456/177253,370.0,"Andrieux, G.","Andrieux, G.",1.0
466,Androssov,N.V.,,,,,,,"Androssov, N.V.",19,http://id.snsb.info/snsb/collection/117831/176631/118884,374.0,"Androssov, N.V.","Androssov, N.V.",1.0
467,Andrus,R.E.,,,,,,,"Andrus, R.E.",2,https://je.jacq.org/JE04007250,375.0,"Andrus, R.E.","Andrus, R.E.",1.0
468,Andrä,,,,,,,,Andrä,4,https://herbarium.bgbm.org/object/B101068351,376.0,Andrä,"André, É.",1.0
469,André,,,,,,,,André,6,https://je.jacq.org/JE04009190,377.0,André,"André, É.",1.0
474,Angelis,M.,,,,,,,"Angelis, M.",1,https://je.jacq.org/JE00002949,382.0,"Angelis, M.","Angelis, M.",1.0
494,Ansari,M.Y.,,,,,,,"Ansari, M.Y.",1,http://id.snsb.info/snsb/collection/467522/571876/246474,395.0,"Ansari, M.Y.","Ansari, M.Y.",1.0
500,Antezana,C.,,,,,,,"Antezana, C.",1,https://herbarium.bgbm.org/object/B100522485,401.0,"Antezana, C.","Antezana, C.",1.0
502,Anthony,J.,,,,,,,"Anthony, J.",1,https://herbarium.bgbm.org/object/B100844010,403.0,"Anthony, J.","Anthony, J.",1.0
505,Anton,H.,,,,,,,"Anton, H.",2,https://je.jacq.org/JE04001528,405.0,"Anton, H.","Anton, H.",1.0
508,Antonio,T.M.,,,,,,,"Antonio, T.M.",1,http://id.snsb.info/snsb/collection/501076/622295/279879,408.0,"Antonio, T.M.","Antonio, T.M.",1.0
512,Antunes,J.M.,,,,,,,"Antunes, J.M.",37,https://herbarium.bgbm.org/object/B100167751,412.0,"Antunes, J.M.","Antunes, J.M.",1.0
517,Aparicio,A.,,,,,,,"Aparicio, A.",8,https://herbarium.bgbm.org/object/B100190610,417.0,"Aparicio, A.","Aparicio, A.",1.0
534,Appan,S.G.,,,,,,,"Appan, S.G.",1,http://id.snsb.info/snsb/collection/652810/709530/358508,426.0,"Appan, S.G.","Appan, S.G.",1.0
538,Appel,O.,,,,,,,"Appel, O.",230,https://herbarium.bgbm.org/object/B100741685,430.0,"Appel, O.","Appel, O.",1.0
540,Appun,C.F.,,,,,,,"Appun, C.F.",8,http://id.snsb.info/snsb/collection/489008/601244/270892,432.0,"Appun, C.F.","Appun, C.F.",1.0
553,Aralbaev,N.K.,,,,,,,"Aralbaev, N.K.",2,https://herbarium.bgbm.org/object/B100743017,440.0,"Aralbaev, N.K.","Aralbaev, N.K.",1.0
564,Araujo-Murakami,A.,,,,,,,"Araujo-Murakami, A.",2,https://herbarium.bgbm.org/object/B100413059,448.0,"Araujo-Murakami, A.","Araujo-Murakami, A.",1.0
570,Arcangeli,G.,,,,,,,"Arcangeli, G.",1,https://je.jacq.org/JE00022170,453.0,"Arcangeli, G.","Arcangeli, G.",1.0
572,Arce,G.,,,,,,,"Arce, G.",1,https://herbarium.bgbm.org/object/B100522479,455.0,"Arce, G.","Arce, G.",1.0
574,Archer,W.,,,,,,,"Archer, W.",4,http://id.snsb.info/snsb/collection/464528/566102/243374,457.0,"Archer, W.","Archer, W.",1.0
575,Archer,W.A.,,,,,,,"Archer, W.A.",9,https://je.jacq.org/JE04001675,458.0,"Archer, W.A.","Archer, W.A.",1.0
586,Arechavaleta,J.,,,,,,,"Arechavaleta, J.",1,https://herbarium.bgbm.org/object/B101113983,467.0,"Arechavaleta, J.","Arechavaleta, J.",1.0
589,Arends,J.C.,,,,,,,"Arends, J.C.",2,https://herbarium.bgbm.org/object/B100157278,469.0,"Arends, J.C.","Arends, J.C.",1.0
590,Areschoug,F.W.C.,,,,,,,"Areschoug, F.W.C.",1,https://herbarium.bgbm.org/object/B100295276,470.0,"Areschoug, F.W.C.","Areschoug, F.W.C.",1.0
595,Argent,G.C.G.,,,,,,,"Argent, G.C.G.",1,http://id.snsb.info/snsb/collection/738054/810469/436969,473.0,"Argent, G.C.G.","Argent, G.C.G.",1.0
599,Arias,I.,,,,,,,"Arias, I.",157,https://herbarium.bgbm.org/object/B100240294,476.0,"Arias, I.","Arias, I.",1.0
602,Arias,S.,,,,,,,"Arias, S.",4,https://herbarium.bgbm.org/object/B101143202,479.0,"Arias, S.","Arias, S.",1.0
603,Aristeguieta,L.,,,,,,,"Aristeguieta, L.",3,https://herbarium.bgbm.org/object/B600128715,480.0,"Aristeguieta, L.","Aristeguieta, L.",1.0
609,Armağan,M.,,,,,,,"Armağan, M.",1,https://herbarium.bgbm.org/object/B100676136,485.0,"Armağan, M.","Armağan, M.",1.0
612,Armitage,E.,,,,,,,"Armitage, E.",1,http://id.snsb.info/snsb/collection/460635/561483/239437,488.0,"Armitage, E.","Armitage, E.",1.0
619,Arndt,C.H.,,,,,,,"Arndt, C.H.",3,https://herbarium.bgbm.org/object/B101086248,495.0,"Arndt, C.H.","Arndt, C.H.",1.0
620,Arnell,H.W.,,,,,,,"Arnell, H.W.",32,https://herbarium.bgbm.org/object/B300005319,496.0,"Arnell, H.W.","Arnell, H.W.",1.0
628,Arnold,F.C.G.,,,,,,,"Arnold, F.C.G.",16,http://id.snsb.info/snsb/collection/118634/177433/119592,504.0,"Arnold, F.C.G.","Arnold, F.C.G.",1.0
630,Arnold,G.R.W.,,,,,,,"Arnold, G.R.W.",37,https://herbarium.bgbm.org/object/B700005772,506.0,"Arnold, G.R.W.","Arnold, G.R.W.",1.0
631,Arnold,N.,,,,,,,"Arnold, N.",5,https://herbarium.bgbm.org/object/B180010783,507.0,"Arnold, N.","Arnold, N.",1.0
635,Aronson,J.,,,,,,,"Aronson, J.",1,http://id.snsb.info/snsb/collection/655249/712716/361303,510.0,"Aronson, J.","Aronson, J.",1.0
636,Aroza,P.,,,,,,,"Aroza, P.",1,https://herbarium.bgbm.org/object/B100354759,511.0,"Aroza, P.","Aroza, P.",1.0
638,Arrigoni,P.V.,,,,,,,"Arrigoni, P.V.",6,http://id.snsb.info/snsb/collection/722131/789194/425036,513.0,"Arrigoni, P.V.","Arrigoni, P.V.",1.0
642,Arroyo,F.,,,,,,,"Arroyo, F.",1,https://herbarium.bgbm.org/object/B100740002,517.0,"Arroyo, F.","Arroyo, F.",1.0
647,Arruda,A.J.,,,,,,,"Arruda, A.J.",3,https://herbarium.bgbm.org/object/B200182233,522.0,"Arruda, A.J.","Arruda, A.J.",1.0
650,Arsène,G.,,,,,,,"Arsène, G.",52,https://herbarium.bgbm.org/object/B100146565,525.0,"Arsène, G.","Arsène, G.",1.0
652,Arsène,L.,,,,,,,"Arsène, L.",2,http://id.snsb.info/snsb/collection/408492/477792/192375,527.0,"Arsène, L.","Arsène, L.",1.0
654,Arséne,L.,,,,,,,"Arséne, L.",1,https://herbarium.bgbm.org/object/B200070408,529.0,"Arséne, L.","Arsène, L.",1.0
655,Artaria,F.A.,,,,,,,"Artaria, F.A.",11,https://je.jacq.org/JE04007416,530.0,"Artaria, F.A.","Artaria, F.A.",1.0
656,Artelari,R.,,,,,,,"Artelari, R.",6,http://id.snsb.info/snsb/collection/459367/560068/238216,531.0,"Artelari, R.","Artelari, R.",1.0
657,Arthur,J.C.,,,,,,,"Arthur, J.C.",1,https://dr.jacq.org/DR049329,532.0,"Arthur, J.C.","Arthur, J.C.",1.0
667,Arzolla,F.A.R.D.P.,,,,,,,"Arzolla, F.A.R.D.P.",2,http://id.snsb.info/snsb/collection/667473/726054/373708,539.0,"Arzolla, F.A.R.D.P.","Arzolla, F.A.R.D.P.",1.0
673,Asahina,Y.,,,,,,,"Asahina, Y.",1,https://herbarium.bgbm.org/object/B600325479,544.0,"Asahina, Y.","Asahina, Y.",1.0
675,Asanza,M.,,,,,,,"Asanza, M.",1,http://id.snsb.info/snsb/collection/676967/738374/383733,546.0,"Asanza, M.","Asanza, M.",1.0
678,Aschenborn,A.,,,,,,,"Aschenborn, A.",36,https://je.jacq.org/JE00001000,548.0,"Aschenborn, A.","Aschenborn, A.",1.0
681,Ascherson,P.F.A.,,,,,,,"Ascherson, P.F.A.",16,http://id.snsb.info/snsb/collection/665259/723627/371385,551.0,"Ascherson, P.F.A.","Ascherson, P.F.A.",1.0
685,Asensi,A.,,,,,,,"Asensi, A.",1,https://herbarium.bgbm.org/object/B101206042,553.0,"Asensi, A.","Asensi, A.",1.0
688,Ashby,A.M.,,,,,,,"Ashby, A.M.",1,https://herbarium.bgbm.org/object/B100127229,555.0,"Ashby, A.M.","Ashby, A.M.",1.0
692,Asonganyi,J.N.,,,,,,,"Asonganyi, J.N.",1,https://herbarium.bgbm.org/object/B180006570,557.0,"Asonganyi, J.N.","Asonganyi, J.N.",1.0
693,Asplund,E.,,,,,,,"Asplund, E.",103,https://je.jacq.org/JE04007788,558.0,"Asplund, E.","Asplund, E.",1.0
695,Assadi,M.,,,,,,,"Assadi, M.",28,http://id.snsb.info/snsb/collection/468868/575171/247820,560.0,"Assadi, M.","Assadi, M.",1.0
704,Atasrip,,,,,,,,Atasrip,2,https://herbarium.bgbm.org/object/B100272891,566.0,Atasrip,Atasrip,1.0
707,Athanasiou,K.,,,,,,,"Athanasiou, K.",12,https://herbarium.bgbm.org/object/B100468830,568.0,"Athanasiou, K.","Athanasiou, K.",1.0
709,Atkins,S.,,,,,,,"Atkins, S.",1,https://herbarium.bgbm.org/object/B100603416,569.0,"Atkins, S.","Atkins, S.",1.0
710,Atkinson,G.F.,,,,,,,"Atkinson, G.F.",1,https://herbarium.bgbm.org/object/B200220411,570.0,"Atkinson, G.F.","Atkinson, G.F.",1.0
715,Attar,F.,,,,,,,"Attar, F.",4,http://id.snsb.info/snsb/collection/468874/575177/247826,573.0,"Attar, F.","Attar, F.",1.0
717,Atwood,J.T.,,,,,,,"Atwood, J.T.",2,https://herbarium.bgbm.org/object/B100146141,575.0,"Atwood, J.T.","Atwood, J.T.",1.0
718,Atwood,N.D.,,,,,,,"Atwood, N.D.",8,https://herbarium.bgbm.org/object/B100249875,576.0,"Atwood, N.D.","Atwood, N.D.",1.0
722,Aublet,J.B.C.F.,,,,,,,"Aublet, J.B.C.F.",4,http://id.snsb.info/snsb/collection/463877/565216/242724,579.0,"Aublet, J.B.C.F.","Aublet, J.B.C.F.",1.0
725,Aubréville,A.,,,,,,,"Aubréville, A.",1,https://herbarium.bgbm.org/object/B100325367,582.0,"Aubréville, A.","Aubréville, A.",1.0
728,Aucher-Éloy,P.M.R.,,,,,,,"Aucher-Éloy, P.M.R.",1,https://herbarium.bgbm.org/object/B100279440,585.0,"Aucher-Éloy, P.M.R.","Aucher-Éloy, P.M.R.",1.0
729,Audibert,U.,,,,,,,"Audibert, U.",1,https://herbarium.bgbm.org/object/B200077516,586.0,"Audibert, U.","Audibert, U.",1.0
732,Auerswald,B.,,,,,,,"Auerswald, B.",20,https://dr.jacq.org/DR048893,588.0,"Auerswald, B.","Auerswald, B.",1.0
11,Auerswald,Bernhard,,,,,,,"Auerswald, Bernhard",2,https://dr.jacq.org/DR022081,11.0,"Auerswald, Bernhard","Auerswald, Bernhard",1.0
745,Aunier,J.J.N.A.,,,,,,,"Aunier, J.J.N.A.",1,https://je.jacq.org/JE00018057,595.0,"Aunier, J.J.N.A.","Aunier, J.J.N.A.",1.0
