,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_similarity
17476,Sneidern,K.v,,,,,,,"Sneidern, K.v",2,https://herbarium.bgbm.org/object/B100248183,14766.0,"Sneidern, K.v","Sneidern, K.E.v.",0.809
17732,Stafleu,R.R.,,,,,,,"Stafleu, R.R.",1,https://herbarium.bgbm.org/object/B100097082,14979.0,"Stafleu, R.R.","Stafleu, F.",0.809
18197,Szovits,A.J.,,,,,,,"Szovits, A.J.",7,https://je.jacq.org/JE00034745,15373.0,"Szovits, A.J.","Szovits, J.N.",0.809
18758,Townsend,E.C.,,,,,,,"Townsend, E.C.",2,https://herbarium.bgbm.org/object/B101149406,15806.0,"Townsend, E.C.","Townsend, R.",0.809
18981,Ugent,V.,,,,,,,"Ugent, V.",2,https://herbarium.bgbm.org/object/B100247177,15988.0,"Ugent, V.","Ugent, D.",0.809
19428,Vitek,F.,,,,,,,"Vitek, F.",11,https://herbarium.bgbm.org/object/B100410176,16362.0,"Vitek, F.","Vitek, E.",0.809
19751,Watt,J.S.,,,,,,,"Watt, J.S.",4,http://id.snsb.info/snsb/collection/17672/26451/17492,16645.0,"Watt, J.S.","Watt, J.C.",0.809
19861,Weiss,,,,,,,,Weiss,6,https://herbarium.bgbm.org/object/B100842492,16748.0,Weiss,"Weiss, A.",0.809
20087,Wild,C.H.,,,,,,,"Wild, C.H.",2,https://herbarium.bgbm.org/object/B100003473,16950.0,"Wild, C.H.","Wild, C.J.",0.809
12,August,Friedrich,,,,,,,"August, Friedrich",22,https://dr.jacq.org/DR013604,12.0,"August, Friedrich","Valet, (August) Friedrich",0.808
925,Bancroft,I.L.,,,,,,,"Bancroft, I.L.",1,http://id.snsb.info/snsb/collection/460632/561480/239434,745.0,"Bancroft, I.L.","Bancroft, K.",0.808
989,Barkly,H.,,,,,,,"Barkly, H.",1,https://herbarium.bgbm.org/object/B200154736,802.0,"Barkly, H.","Barkly, A.M.",0.808
2197,Broddeson,E.,,,,,,,"Broddeson, E.",1,https://je.jacq.org/JE00026956,1845.0,"Broddeson, E.","Broddeson, O.E.",0.808
2720,Campos,,,,,,,,Campos,2,https://herbarium.bgbm.org/object/B100032765,2290.0,Campos,"Campos, M.M.",0.808
2934,Castro,W.,,,,,,,"Castro, W.",1,https://herbarium.bgbm.org/object/B101149444,2481.0,"Castro, W.","Castro-Castro, A.",0.808
3385,Collet,E.,,,,,,,"Collet, E.",1,https://herbarium.bgbm.org/object/B100157442,2850.0,"Collet, E.","Collet, P.",0.808
3694,Curnow,,,,,,,,Curnow,2,https://dr.jacq.org/DR058236,3120.0,Curnow,"Curnow, W.",0.808
6014,Germain,M.R.,,,,,,,"Germain, M.R.",2,https://herbarium.bgbm.org/object/B100277902,5075.0,"Germain, M.R.","Germain, H.",0.808
6270,Gomes,I.,,,,,,,"Gomes, I.",1,https://herbarium.bgbm.org/object/B100086808,5294.0,"Gomes, I.","Gomes, M.",0.808
9260,Kindt,,,de,,,,,Kindt,1,https://herbarium.bgbm.org/object/B200062082,7831.0,Kindt,"Kindt, E.",0.808
10083,Lacroix,F.,,,,,,,"Lacroix, F.",1,https://herbarium.bgbm.org/object/B100141945,8515.0,"Lacroix, F.","Lacroix, F.B.d.S.d.",0.808
12078,Mexia,Y.E.J.,,,,,,,"Mexia, Y.E.J.",3,https://herbarium.bgbm.org/object/B200121920,10197.0,"Mexia, Y.E.J.","Mexia, Y.",0.808
12331,Monge,H.,,,,,,,"Monge, H.",10,https://herbarium.bgbm.org/object/B100542415,10416.0,"Monge, H.","Monge, M.",0.808
12443,Moreno,H.,,,,,,,"Moreno, H.",2,https://herbarium.bgbm.org/object/B100598890,10514.0,"Moreno, H.","Moreno, J.",0.808
13383,Oliveira,A.C.P.,,,,,,,"Oliveira, A.C.P.",1,http://id.snsb.info/snsb/collection/681429/744305/388357,11297.0,"Oliveira, A.C.P.","Oliveira, A.T.",0.808
13572,Padilla,C.,,,,,,,"Padilla, C.",7,https://herbarium.bgbm.org/object/B101046994,11452.0,"Padilla, C.","Padilla, S.A.",0.808
13903,Pena,J.,,,,,,,"Pena, J.",1,https://herbarium.bgbm.org/object/B100006417,11731.0,"Pena, J.","Pena, M.",0.808
13943,Pereira,J.B.S.,,,,,,,"Pereira, J.B.S.",5,https://herbarium.bgbm.org/object/B200165518,11766.0,"Pereira, J.B.S.","Pereira, J.",0.808
15007,Rea,J.,,,,,,,"Rea, J.",1,https://herbarium.bgbm.org/object/B100711141,12661.0,"Rea, J.","Rea, A.",0.808
15199,Retzdorff,W.,,,,,,,"Retzdorff, W.",17,https://dr.jacq.org/DR064360,12829.0,"Retzdorff, W.","Retzdorff, A.E.W.",0.808
16743,Schultze,L.S.,,,,,,,"Schultze, L.S.",6,https://herbarium.bgbm.org/object/B200094316a,14153.0,"Schultze, L.S.","Schultze, W.",0.808
17278,Silva,J.M.,,,,,,,"Silva, J.M.",17,https://herbarium.bgbm.org/object/B100002115,14601.0,"Silva, J.M.","Silva, J.O.",0.808
19475,Voigtlaender-Tetzner,W.,,,,,,,"Voigtlaender-Tetzner, W.",1,https://dr.jacq.org/DR052959,16403.0,"Voigtlaender-Tetzner, W.","Voigtländer-Tetzner, W.",0.808
20716,Zschacke,G. Hermann,,,,,,,"Zschacke, G. Hermann",3,https://herbarium.bgbm.org/object/B600034267,17475.0,"Zschacke, G. Hermann","Zschacke, G.H.",0.808
1351,Berger,K.,,,,,,,"Berger, K.",369,https://dr.jacq.org/DR009013,1117.0,"Berger, K.","Berger, A.",0.807
1426,Bertero,C.,,,,,,,"Bertero, C.",7,https://herbarium.bgbm.org/object/B100248278,1184.0,"Bertero, C.","Bertero, C.L.G.",0.807
1589,Bishop,E.,,,,,,,"Bishop, E.",1,https://herbarium.bgbm.org/object/B200039126,1315.0,"Bishop, E.","Bishop, H.",0.807
