source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd IV				cleaned_0index:0
Abd. IV				cleaned_0index:0
Abd. IV				cleaned_0index:0
Abd. IV				cleaned_0index:0
Abd. IV				cleaned_0index:0
Abd. IV & Abd. VI				cleaned_0index:0
Abd. IV & Abd. VI				cleaned_0index:0
Abd. V & Abd. IV				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd. VI				cleaned_0index:0
Abd VI & R. S. Vargovitsh				cleaned_0index:0
Abeille De	Abeille De	parsed:Abeille De		cleaned_0index:0
Abel & National Park	National Park	parsed:Abel<SEP>National Park	cleaned:Abel<SEP>	cleaned_0index:1
Abeti Soprani & Leg. & Marino & Coll. & Sibillini & Coll. A. & T				cleaned_0index:0
A. Blayney Percival. From & Rothschild Collection.	Rothschild Collection.	parsed:A.Blayney Percival<SEP>Rothschild Collection.	cleaned:A. Blayney Percival<SEP>	cleaned_0index:1
A. B. Machado & Ang. No & Coll. A. B. Machado				cleaned_0index:0
A. B. Machado & Coll. A. B. Machado				cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
A. Breyer Collection	A. Breyer Collection	parsed:A. Breyer Collection		cleaned_0index:0
