,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
7271,Henning,T.,,,,,,,"Henning, T.",378,http://id.snsb.info/snsb/collection/467398/571752/246350,302,"Henning, T.","Henning, J.",0.65
7458,Heyde,,,,,,,,Heyde,3,https://herbarium.bgbm.org/object/B100086006,19886,Heyde,"Heyder, E.",0.65
7589,Hladnik,F.,,,,,,,"Hladnik, F.",4,https://je.jacq.org/JE00001783,15800,"Hladnik, F.","Hladnik, F.v.P.",0.65
7637,Hoffmannsegg,J. C. von,,,,,,,"Hoffmannsegg, J. C. von",3,https://herbarium.bgbm.org/object/BW10444020,10193,"Hoffmannsegg, J. C. von","Hoffmannsegg, J.C.",0.65
7720,Holst,C.,,,,,,,"Holst, C.",268,http://id.snsb.info/snsb/collection/15770/24488/15590,6837,"Holst, C.","Holst, A.",0.65
7776,Hope,G.,,,,,,,"Hope, G.",1,https://je.jacq.org/JE04007742,1972,"Hope, G.","Hope, J.",0.65
7928,Humboldt,A. von,,,,,,,"Humboldt, A. von",19,https://herbarium.bgbm.org/object/B101000089a,2199,"Humboldt, A. von","Humboldt, A.v.",0.65
7933,Hummel,D.,,,,,,,"Hummel, D.",1966,https://herbarium.bgbm.org/object/B100595066,9045,"Hummel, D.","Hummel, K.",0.65
8014,Hähnel,,,,,,,,Hähnel,2,https://dr.jacq.org/DR053219,3131,Hähnel,"Höhnel, L.v.",0.65
8138,Imada,C.,,,,,,,"Imada, C.",1,https://herbarium.bgbm.org/object/B100365454,8157,"Imada, C.","Imada, O.",0.65
8149,Infantes,J.,,,,,,,"Infantes, J.",3,https://herbarium.bgbm.org/object/B100086816,7956,"Infantes, J.","Infante, M.",0.65
8213,Jack,,,,,,,,Jack,1,https://herbarium.bgbm.org/object/B300014579,6179,Jack,"Jack, W.",0.65
8249,Jacquin,N.J.,,von,,,,,"Jacquin, N.J.",20,http://id.snsb.info/snsb/collection/23917/32695/23487,5894,"Jacquin, N.J.","Jacquin, N.J.v.",0.65
8281,Jahns,,,,,,,,Jahns,6,https://dr.jacq.org/DR048949,9540,Jahns,"Jahns, E.F.",0.65
