,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
2,Aaronsohn,A.,,,,,,,"Aaronsohn, A.",3,https://je.jacq.org/JE00010154,20231,"Aaronsohn, A.","Aaronsohn, A.",0.0
7,Abbe,E.C.,,,,,,,"Abbe, E.C.",2,https://herbarium.bgbm.org/object/B100241637,3983,"Abbe, E.C.","Abbe, E.C.",0.0
11,Abbott,J.R.,,,,,,,"Abbott, J.R.",80,https://herbarium.bgbm.org/object/B100181131,897,"Abbott, J.R.","Abbott, J.R.",0.0
13,Abbott,W.L.,,,,,,,"Abbott, W.L.",4,http://id.snsb.info/snsb/collection/504820/626155/283761,5159,"Abbott, W.L.","Abbott, W.L.",0.0
19,Abedin,S.,,,,,,,"Abedin, S.",14,https://herbarium.bgbm.org/object/B100046632,11471,"Abedin, S.","Abedin, S.",0.0
32,Acebey,A.,,,,,,,"Acebey, A.",6,http://id.snsb.info/snsb/collection/719469/786048/423570,11348,"Acebey, A.","Acebey, A.",0.0
45,Ackermann,M.,,,,,,,"Ackermann, M.",34,http://id.snsb.info/snsb/collection/444683/544886/227537,7629,"Ackermann, M.","Ackermann, M.",0.0
48,Acocks,J.P.H.,,,,,,,"Acocks, J.P.H.",17,http://id.snsb.info/snsb/collection/15773/24491/15593,6389,"Acocks, J.P.H.","Acocks, J.P.H.",0.0
50,Acosta,J.M.,,,,,,,"Acosta, J.M.",3,https://herbarium.bgbm.org/object/B101009972,18268,"Acosta, J.M.","Acosta, J.M.",0.0
51,Acosta,L.,,,,,,,"Acosta, L.",538,https://herbarium.bgbm.org/object/B100542413,7963,"Acosta, L.","Acosta, L.",0.0
63,Adamović,L.,,,,,,,"Adamović, L.",36,https://je.jacq.org/JE00017664,11876,"Adamović, L.","Adamović, L.",0.0
64,Adamovič,L.,,,,,,,"Adamovič, L.",3,http://id.snsb.info/snsb/collection/464847/566421/243693,5460,"Adamovič, L.","Adamović, L.",0.0
67,Adams,C.D.,,,,,,,"Adams, C.D.",7,http://id.snsb.info/snsb/collection/25541/34319/25105,8130,"Adams, C.D.","Adams, C.D.",0.0
69,Adams,L.G.,,,,,,,"Adams, L.G.",5,https://herbarium.bgbm.org/object/B100365285,15888,"Adams, L.G.","Adams, L.G.",0.0
73,Adamson,J.,,,,,,,"Adamson, J.",1,https://herbarium.bgbm.org/object/B100057312,11575,"Adamson, J.","Adamson, J.",0.0
77,Ade,A.,,,,,,,"Ade, A.",4,http://id.snsb.info/snsb/collection/513255/635847/292856,17425,"Ade, A.","Ade, A.",0.0
89,Adler,W.,,,,,,,"Adler, W.",6,https://herbarium.bgbm.org/object/B101191388,18002,"Adler, W.","Adler, W.",0.0
91,Adolphi,K.,,,,,,,"Adolphi, K.",3,https://herbarium.bgbm.org/object/B100463717,7864,"Adolphi, K.","Adolphi, K.",0.0
93,Adıgüzel,N.,,,,,,,"Adıgüzel, N.",1,https://je.jacq.org/JE00013121,9946,"Adıgüzel, N.","Adıgüzel, N.",0.0
95,Aedo,C.,,,,,,,"Aedo, C.",53,https://herbarium.bgbm.org/object/B101037507,9872,"Aedo, C.","Aedo, C.",0.0
96,Aellen,P.,,,,,,,"Aellen, P.",66,http://id.snsb.info/snsb/collection/459127/559829/237976,5409,"Aellen, P.","Aellen, P.",0.0
103,Afonina,O.M.,,,,,,,"Afonina, O.M.",2,https://je.jacq.org/JE04009152,74,"Afonina, O.M.","Afonina, O.M.",0.0
107,Afzelius,A.,,,,,,,"Afzelius, A.",11,https://herbarium.bgbm.org/object/B100068937,4464,"Afzelius, A.","Afzelius, A.",0.0
112,Agnew,A.D.Q.,,,,,,,"Agnew, A.D.Q.",2,https://herbarium.bgbm.org/object/B100217805,12521,"Agnew, A.D.Q.","Agnew, A.D.Q.",0.0
115,Aguiar,C.,,,,,,,"Aguiar, C.",1,https://herbarium.bgbm.org/object/B101137576,20086,"Aguiar, C.","Aguiar, C.",0.0
120,Aguilar,J.,,,,,,,"Aguilar, J.",27,https://herbarium.bgbm.org/object/B100043178,4668,"Aguilar, J.","Aguilar, J.",0.0
125,Aguilar,R.,,,,,,,"Aguilar, R.",126,https://herbarium.bgbm.org/object/B100459555,18172,"Aguilar, R.","Aguilar, R.",0.0
126,Aguilella,A.,,,,,,,"Aguilella, A.",4,https://herbarium.bgbm.org/object/B100358370,15252,"Aguilella, A.","Aguilella, A.",0.0
131,Aguirre,J.,,,,,,,"Aguirre, J.",4,https://herbarium.bgbm.org/object/B300230830,13161,"Aguirre, J.","Aguirre, J.",0.0
134,Ahern,G.P.,,,,,,,"Ahern, G.P.",3,http://id.snsb.info/snsb/collection/645990/701050/351640,15407,"Ahern, G.P.","Ahern, G.P.",0.0
141,Ahles,H.E.,,,,,,,"Ahles, H.E.",1,https://herbarium.bgbm.org/object/B101224042,15377,"Ahles, H.E.","Ahles, H.E.",0.0
144,Ahmad,N.,,,,,,,"Ahmad, N.",2,https://herbarium.bgbm.org/object/B100848610,3103,"Ahmad, N.","Ahmad, N.",0.0
145,Ahmad,S.,,,,,,,"Ahmad, S.",4,https://herbarium.bgbm.org/object/B101097885,16261,"Ahmad, S.","Ahmad, S.",0.0
150,Ahti,T.T.,,,,,,,"Ahti, T.T.",15,https://herbarium.bgbm.org/object/B600325604,4964,"Ahti, T.T.","Ahti, T.T.",0.0
151,Ahumada,L.Z.,,,,,,,"Ahumada, L.Z.",1,http://id.snsb.info/snsb/collection/512566/635026/292131,14185,"Ahumada, L.Z.","Ahumada, L.Z.",0.0
153,Aichinger,Vv,,,,,,,"Aichinger, Vv",1,https://herbarium.bgbm.org/object/B101015390,18317,"Aichinger, Vv","Aichinger, V.v.",0.0
159,Aitchison,J.E.T.,,,,,,,"Aitchison, J.E.T.",19,http://id.snsb.info/snsb/collection/469029/575332/247981,15581,"Aitchison, J.E.T.","Aitchison, J.E.T.",0.0
161,Aiton,G.B.,,,,,,,"Aiton, G.B.",1,https://dr.jacq.org/DR050107,6583,"Aiton, G.B.","Aiton, G.B.",0.0
162,Aiton,W.T.,,,,,,,"Aiton, W.T.",1,https://herbarium.bgbm.org/object/BW19753010,12346,"Aiton, W.T.","Aiton, W.T.",0.0
168,Akan,H.,,,,,,,"Akan, H.",1,https://herbarium.bgbm.org/object/B100009765,12810,"Akan, H.","Akan, H.",0.0
171,Akeroyd,J.R.,,,,,,,"Akeroyd, J.R.",7,https://herbarium.bgbm.org/object/B100025123,9370,"Akeroyd, J.R.","Akeroyd, J.R.",0.0
172,Akhani,H.,,,,,,,"Akhani, H.",18,http://id.snsb.info/snsb/collection/118034/176834/119064,14194,"Akhani, H.","Akhani, H.",0.0
178,Akiyama,H.,,,,,,,"Akiyama, H.",1,https://je.jacq.org/JE04009352,8874,"Akiyama, H.","Akiyama, H.",0.0
179,Akopian,J.,,,,,,,"Akopian, J.",140,https://herbarium.bgbm.org/object/B100506411,7706,"Akopian, J.","Akopian, J.",0.0
183,Al Gifri,A.N.,,,,,,,"Al Gifri, A.N.",73,https://herbarium.bgbm.org/object/B100132290,1783,"Al Gifri, A.N.","Al-Gifri, A.N.",0.0
189,Al-Gifri,A.N.,,,,,,,"Al-Gifri, A.N.",272,https://herbarium.bgbm.org/object/B100140651,20087,"Al-Gifri, A.N.","Al-Gifri, A.N.",0.0
213,Albert,A.,,,,,,,"Albert, A.",1,https://je.jacq.org/JE00007598,4800,"Albert, A.","Albert, A.",0.0
214,Albert,R.,,,,,,,"Albert, R.",2,https://herbarium.bgbm.org/object/B100650533,4387,"Albert, R.","Albert, R.",0.0
221,Albo,G.,,,,,,,"Albo, G.",1,http://id.snsb.info/snsb/collection/459414/560115/238263,9063,"Albo, G.","Albo, G.",0.0
225,Albov,N.M.,,,,,,,"Albov, N.M.",7,https://je.jacq.org/JE00003269,9599,"Albov, N.M.","Albov, N.M.",0.0
227,Albrecht,D.E.,,,,,,,"Albrecht, D.E.",1,http://id.snsb.info/snsb/collection/475169/585023/256395,5284,"Albrecht, D.E.","Albrecht, D.E.",0.0
238,Aldasoro,J.J.,,,,,,,"Aldasoro, J.J.",11,https://herbarium.bgbm.org/object/B101042604,9531,"Aldasoro, J.J.","Aldasoro, J.J.",0.0
244,Alejandre,J.A.,,,,,,,"Alejandre, J.A.",3,https://herbarium.bgbm.org/object/B101135657,13019,"Alejandre, J.A.","Alejandre, J.A.",0.0
252,Alexander,D.,,,,,,,"Alexander, D.",11,https://herbarium.bgbm.org/object/B100037054,19087,"Alexander, D.","Alexander, D.",0.0
265,Alfaro,E.,,,,,,,"Alfaro, E.",310,https://herbarium.bgbm.org/object/B100459206,17380,"Alfaro, E.","Alfaro, E.",0.0
270,Alford,M.H.,,,,,,,"Alford, M.H.",1,https://herbarium.bgbm.org/object/B100161498,2382,"Alford, M.H.","Alford, M.H.",0.0
276,Allard,G.,,,,,,,"Allard, G.",1,https://herbarium.bgbm.org/object/B100256202,1947,"Allard, G.","Allard, G.",0.0
281,Allen,B.H.,,,,,,,"Allen, B.H.",1,https://je.jacq.org/JE04008163,7136,"Allen, B.H.","Allen, B.H.",0.0
284,Allen,O.D.,,,,,,,"Allen, O.D.",7,http://id.snsb.info/snsb/collection/455533/556061/235013,6239,"Allen, O.D.","Allen, O.D.",0.0
285,Allen,P.H.,,,,,,,"Allen, P.H.",6,http://id.snsb.info/snsb/collection/479594/590636/260573,14952,"Allen, P.H.","Allen, P.H.",0.0
288,Allioni,C.,,,,,,,"Allioni, C.",14,http://id.snsb.info/snsb/collection/458948/559647/237797,222,"Allioni, C.","Allioni, C.",0.0
290,Allison,K.W.,,,,,,,"Allison, K.W.",28,https://je.jacq.org/JE04003027,5801,"Allison, K.W.","Allison, K.W.",0.0
291,Allorge,L.,,,,,,,"Allorge, L.",5,https://herbarium.bgbm.org/object/B100144997,20128,"Allorge, L.","Allorge, L.",0.0
292,Allorge,P.,,,,,,,"Allorge, P.",1,https://je.jacq.org/JE04004935,11042,"Allorge, P.","Allorge, P.",0.0
293,Allred,K.,,,,,,,"Allred, K.",1,http://id.snsb.info/snsb/collection/445763/546159/228663,2782,"Allred, K.","Allred, K.",0.0
297,Almborn,O.,,,,,,,"Almborn, O.",1,https://dr.jacq.org/DR058081,14961,"Almborn, O.","Almborn, O.",0.0
298,Almeda,F.,,,,,,,"Almeda, F.",4,http://id.snsb.info/snsb/collection/119070/177869/120015,12583,"Almeda, F.","Almeda, F.",0.0
303,Almquist,S.O.I.,,,,,,,"Almquist, S.O.I.",2,http://id.snsb.info/snsb/collection/118876/177675/119826,3980,"Almquist, S.O.I.","Almquist, S.O.I.",0.0
310,Alschinger,A.,,,,,,,"Alschinger, A.",18,https://herbarium.bgbm.org/object/B100749399,4996,"Alschinger, A.","Alschinger, A.",0.0
12,Alschinger,Andreas,,,,,,,"Alschinger, Andreas",1,https://herbarium.bgbm.org/object/B100749292,255,"Alschinger, Andreas","Alschinger, Andreas",0.0
313,Alston,A.H.G.,,,,,,,"Alston, A.H.G.",1,https://herbarium.bgbm.org/object/B200075338,2416,"Alston, A.H.G.","Alston, A.H.G.",0.0
314,Alstrup,V.,,,,,,,"Alstrup, V.",5,https://herbarium.bgbm.org/object/B100017157,20249,"Alstrup, V.","Alstrup, V.",0.0
342,Alverson,W.S.,,,,,,,"Alverson, W.S.",1,https://herbarium.bgbm.org/object/B100244022,2412,"Alverson, W.S.","Alverson, W.S.",0.0
343,Alziar,G.,,,,,,,"Alziar, G.",56,https://herbarium.bgbm.org/object/B100190610,5117,"Alziar, G.","Alziar, G.",0.0
346,Amakawa,T.,,,,,,,"Amakawa, T.",4,https://je.jacq.org/JE04009980,17183,"Amakawa, T.","Amakawa, T.",0.0
347,Amann,J.J.,,,,,,,"Amann, J.J.",2,https://je.jacq.org/JE04001380,10720,"Amann, J.J.","Amann, J.J.",0.0
355,Ambrosi,F.,,,,,,,"Ambrosi, F.",2,https://je.jacq.org/JE00016407,15898,"Ambrosi, F.","Ambrosi, F.",0.0
359,Amdjah,,,,,,,,Amdjah,3,https://herbarium.bgbm.org/object/B100272313,13971,Amdjah,Amdjah,0.0
364,Ameghino,C.,,,,,,,"Ameghino, C.",2,https://herbarium.bgbm.org/object/B100386857,19769,"Ameghino, C.","Ameghino, C.",0.0
367,Ames,M.E.P.,,,,,,,"Ames, M.E.P.",1,https://herbarium.bgbm.org/object/B100294655,9644,"Ames, M.E.P.","Ames, M.E.P.",0.0
369,Amherst,S.,,,,,,,"Amherst, S.",1,http://id.snsb.info/snsb/collection/501554/622788/280344,1084,"Amherst, S.","Amherst, S.",0.0
371,Amin,K.S.,,,,,,,"Amin, K.S.",1,http://id.snsb.info/snsb/collection/468914/575217/247866,11622,"Amin, K.S.","Amin, K.S.",0.0
375,Amorim,A.M.,,,,,,,"Amorim, A.M.",1,http://id.snsb.info/snsb/collection/715187/779565/421007,8677,"Amorim, A.M.","Amorim, A.M.",0.0
376,Amoroso,,,,,,,,Amoroso,1,https://herbarium.bgbm.org/object/B100244265,8484,Amoroso,Amoroso,0.0
377,Amshoff,G.J.H.,,,,,,,"Amshoff, G.J.H.",1,https://herbarium.bgbm.org/object/B100629912,8519,"Amshoff, G.J.H.","Amshoff, G.J.H.",0.0
390,Anders,J.,,,,,,,"Anders, J.",3,https://herbarium.bgbm.org/object/B100296443,4745,"Anders, J.","Anders, J.",0.0
391,Anders,O.,,,,,,,"Anders, O.",53,http://id.snsb.info/snsb/collection/117840/176640/118893,19791,"Anders, O.","Anders, O.",0.0
397,Anderson,C.L.,,,,,,,"Anderson, C.L.",1,https://herbarium.bgbm.org/object/B100241523,3793,"Anderson, C.L.","Anderson, C.L.",0.0
402,Anderson,J.,,,,,,,"Anderson, J.",2,http://id.snsb.info/snsb/collection/118020/176820/119051,8652,"Anderson, J.","Anderson, J.",0.0
403,Anderson,J.L.,,,,,,,"Anderson, J.L.",1,https://herbarium.bgbm.org/object/B100161702,2126,"Anderson, J.L.","Anderson, J.L.",0.0
404,Anderson,R.,,,,,,,"Anderson, R.",1,https://herbarium.bgbm.org/object/B700004761,19537,"Anderson, R.","Anderson, R.",0.0
406,Anderson,T.,,,,,,,"Anderson, T.",6,http://id.snsb.info/snsb/collection/467615/571969/246567,8206,"Anderson, T.","Anderson, T.",0.0
407,Anderson,W.,,,,,,,"Anderson, W.",6,https://herbarium.bgbm.org/object/B101147325,5640,"Anderson, W.","Anderson, W.",0.0
408,Anderson,W.R.,,,,,,,"Anderson, W.R.",7,http://id.snsb.info/snsb/collection/25690/34468/25254,8655,"Anderson, W.R.","Anderson, W.R.",0.0
410,Andersson,A.,,,,,,,"Andersson, A.",7,https://herbarium.bgbm.org/object/B100212980,17927,"Andersson, A.","Andersson, A.",0.0
414,Andersson,L.,,,,,,,"Andersson, L.",3,https://herbarium.bgbm.org/object/B100093708II,15228,"Andersson, L.","Andersson, L.",0.0
415,Andersson,N.J.,,,,,,,"Andersson, N.J.",21,http://id.snsb.info/snsb/collection/472780/582069/253864,7900,"Andersson, N.J.","Andersson, N.J.",0.0
418,Ando,H.,,,,,,,"Ando, H.",2,https://je.jacq.org/JE04009993,12935,"Ando, H.","Ando, H.",0.0
423,Andrade,G.,,,,,,,"Andrade, G.",1,http://id.snsb.info/snsb/collection/520794/644324/302506,5627,"Andrade, G.","Andrade, G.",0.0
431,Andreas,C.H.,,,,,,,"Andreas, C.H.",315,https://herbarium.bgbm.org/object/B100648544,1284,"Andreas, C.H.","Andreas, C.H.",0.0
434,Andreev,N.,,,,,,,"Andreev, N.",4,https://herbarium.bgbm.org/object/B100076176,16885,"Andreev, N.","Andreev, N.",0.0
438,Andres,H.,,,,,,,"Andres, H.",12,https://herbarium.bgbm.org/object/B100591943,16220,"Andres, H.","Andres, H.",0.0
440,Andrews,F.W.,,,,,,,"Andrews, F.W.",1,https://je.jacq.org/JE04008568,13014,"Andrews, F.W.","Andrews, F.W.",0.0
441,Andreánszky,G.,,,,,,,"Andreánszky, G.",2,https://dr.jacq.org/DR066417,11086,"Andreánszky, G.","Andreánszky, G.",0.0
442,Andrianarisata,M.,,,,,,,"Andrianarisata, M.",1,http://id.snsb.info/snsb/collection/504196/625465/282973,18193,"Andrianarisata, M.","Andrianarisata, M.",0.0
443,Andriantiana,J.,,,,,,,"Andriantiana, J.",1,https://herbarium.bgbm.org/object/B100046309,9589,"Andriantiana, J.","Andriantiana, J.",0.0
445,Andrieux,G.,,,,,,,"Andrieux, G.",76,http://id.snsb.info/snsb/collection/195477/479456/177253,14259,"Andrieux, G.","Andrieux, G.",0.0
450,Androssov,N.V.,,,,,,,"Androssov, N.V.",19,http://id.snsb.info/snsb/collection/117831/176631/118884,11681,"Androssov, N.V.","Androssov, N.V.",0.0
451,Andrus,R.E.,,,,,,,"Andrus, R.E.",2,https://je.jacq.org/JE04007250,6333,"Andrus, R.E.","Andrus, R.E.",0.0
452,Andrä,,,,,,,,Andrä,4,https://herbarium.bgbm.org/object/B101068351,5777,Andrä,"André, É.",0.0
453,André,,,,,,,,André,6,https://je.jacq.org/JE04009190,1749,André,"André, É.",0.0
458,Angelis,M.,,,,,,,"Angelis, M.",1,https://je.jacq.org/JE00002949,6414,"Angelis, M.","Angelis, M.",0.0
477,Ansari,M.Y.,,,,,,,"Ansari, M.Y.",1,http://id.snsb.info/snsb/collection/467522/571876/246474,12378,"Ansari, M.Y.","Ansari, M.Y.",0.0
483,Antezana,C.,,,,,,,"Antezana, C.",1,https://herbarium.bgbm.org/object/B100522485,11255,"Antezana, C.","Antezana, C.",0.0
485,Anthony,J.,,,,,,,"Anthony, J.",1,https://herbarium.bgbm.org/object/B100844010,9178,"Anthony, J.","Anthony, J.",0.0
487,Anton,H.,,,,,,,"Anton, H.",2,https://je.jacq.org/JE04001528,3542,"Anton, H.","Anton, H.",0.0
490,Antonio,T.M.,,,,,,,"Antonio, T.M.",1,http://id.snsb.info/snsb/collection/501076/622295/279879,7705,"Antonio, T.M.","Antonio, T.M.",0.0
494,Antunes,J.M.,,,,,,,"Antunes, J.M.",37,https://herbarium.bgbm.org/object/B100167751,18434,"Antunes, J.M.","Antunes, J.M.",0.0
499,Aparicio,A.,,,,,,,"Aparicio, A.",8,https://herbarium.bgbm.org/object/B100190610,11638,"Aparicio, A.","Aparicio, A.",0.0
516,Appan,S.G.,,,,,,,"Appan, S.G.",1,http://id.snsb.info/snsb/collection/652810/709530/358508,17174,"Appan, S.G.","Appan, S.G.",0.0
520,Appel,O.,,,,,,,"Appel, O.",230,https://herbarium.bgbm.org/object/B100741685,1069,"Appel, O.","Appel, O.",0.0
522,Appun,C.F.,,,,,,,"Appun, C.F.",8,http://id.snsb.info/snsb/collection/489008/601244/270892,115,"Appun, C.F.","Appun, C.F.",0.0
535,Aralbaev,N.K.,,,,,,,"Aralbaev, N.K.",2,https://herbarium.bgbm.org/object/B100743017,16596,"Aralbaev, N.K.","Aralbaev, N.K.",0.0
546,Araujo-Murakami,A.,,,,,,,"Araujo-Murakami, A.",2,https://herbarium.bgbm.org/object/B100413059,8973,"Araujo-Murakami, A.","Araujo-Murakami, A.",0.0
552,Arcangeli,G.,,,,,,,"Arcangeli, G.",1,https://je.jacq.org/JE00022170,15024,"Arcangeli, G.","Arcangeli, G.",0.0
554,Arce,G.,,,,,,,"Arce, G.",1,https://herbarium.bgbm.org/object/B100522479,13910,"Arce, G.","Arce, G.",0.0
556,Archer,W.,,,,,,,"Archer, W.",4,http://id.snsb.info/snsb/collection/464528/566102/243374,3703,"Archer, W.","Archer, W.",0.0
557,Archer,W.A.,,,,,,,"Archer, W.A.",9,https://je.jacq.org/JE04001675,13823,"Archer, W.A.","Archer, W.A.",0.0
568,Arechavaleta,J.,,,,,,,"Arechavaleta, J.",1,https://herbarium.bgbm.org/object/B101113983,1165,"Arechavaleta, J.","Arechavaleta, J.",0.0
570,Arends,J.C.,,,,,,,"Arends, J.C.",2,https://herbarium.bgbm.org/object/B100157278,13135,"Arends, J.C.","Arends, J.C.",0.0
571,Areschoug,F.W.C.,,,,,,,"Areschoug, F.W.C.",1,https://herbarium.bgbm.org/object/B100295276,1770,"Areschoug, F.W.C.","Areschoug, F.W.C.",0.0
575,Argent,G.C.G.,,,,,,,"Argent, G.C.G.",1,http://id.snsb.info/snsb/collection/738054/810469/436969,13849,"Argent, G.C.G.","Argent, G.C.G.",0.0
579,Arias,I.,,,,,,,"Arias, I.",157,https://herbarium.bgbm.org/object/B100240294,8521,"Arias, I.","Arias, I.",0.0
582,Arias,S.,,,,,,,"Arias, S.",4,https://herbarium.bgbm.org/object/B101143202,9498,"Arias, S.","Arias, S.",0.0
583,Aristeguieta,L.,,,,,,,"Aristeguieta, L.",3,https://herbarium.bgbm.org/object/B600128715,19844,"Aristeguieta, L.","Aristeguieta, L.",0.0
589,Armağan,M.,,,,,,,"Armağan, M.",1,https://herbarium.bgbm.org/object/B100676136,6868,"Armağan, M.","Armağan, M.",0.0
592,Armitage,E.,,,,,,,"Armitage, E.",1,http://id.snsb.info/snsb/collection/460635/561483/239437,9973,"Armitage, E.","Armitage, E.",0.0
599,Arndt,C.H.,,,,,,,"Arndt, C.H.",3,https://herbarium.bgbm.org/object/B101086248,4232,"Arndt, C.H.","Arndt, C.H.",0.0
600,Arnell,H.W.,,,,,,,"Arnell, H.W.",32,https://herbarium.bgbm.org/object/B300005319,9248,"Arnell, H.W.","Arnell, H.W.",0.0
608,Arnold,F.C.G.,,,,,,,"Arnold, F.C.G.",16,http://id.snsb.info/snsb/collection/118634/177433/119592,6950,"Arnold, F.C.G.","Arnold, F.C.G.",0.0
610,Arnold,G.R.W.,,,,,,,"Arnold, G.R.W.",37,https://herbarium.bgbm.org/object/B700005772,5940,"Arnold, G.R.W.","Arnold, G.R.W.",0.0
611,Arnold,N.,,,,,,,"Arnold, N.",5,https://herbarium.bgbm.org/object/B180010783,9209,"Arnold, N.","Arnold, N.",0.0
615,Aronson,J.,,,,,,,"Aronson, J.",1,http://id.snsb.info/snsb/collection/655249/712716/361303,12909,"Aronson, J.","Aronson, J.",0.0
616,Aroza,P.,,,,,,,"Aroza, P.",1,https://herbarium.bgbm.org/object/B100354759,1124,"Aroza, P.","Aroza, P.",0.0
618,Arrigoni,P.V.,,,,,,,"Arrigoni, P.V.",6,http://id.snsb.info/snsb/collection/722131/789194/425036,11387,"Arrigoni, P.V.","Arrigoni, P.V.",0.0
622,Arroyo,F.,,,,,,,"Arroyo, F.",1,https://herbarium.bgbm.org/object/B100740002,16271,"Arroyo, F.","Arroyo, F.",0.0
627,Arruda,A.J.,,,,,,,"Arruda, A.J.",3,https://herbarium.bgbm.org/object/B200182233,19121,"Arruda, A.J.","Arruda, A.J.",0.0
630,Arsène,G.,,,,,,,"Arsène, G.",52,https://herbarium.bgbm.org/object/B100146565,4810,"Arsène, G.","Arsène, G.",0.0
632,Arsène,L.,,,,,,,"Arsène, L.",2,http://id.snsb.info/snsb/collection/408492/477792/192375,18782,"Arsène, L.","Arsène, L.",0.0
634,Arséne,L.,,,,,,,"Arséne, L.",1,https://herbarium.bgbm.org/object/B200070408,2121,"Arséne, L.","Arsène, L.",0.0
635,Artaria,F.A.,,,,,,,"Artaria, F.A.",11,https://je.jacq.org/JE04007416,6515,"Artaria, F.A.","Artaria, F.A.",0.0
636,Artelari,R.,,,,,,,"Artelari, R.",6,http://id.snsb.info/snsb/collection/459367/560068/238216,920,"Artelari, R.","Artelari, R.",0.0
637,Arthur,J.C.,,,,,,,"Arthur, J.C.",1,https://dr.jacq.org/DR049329,5834,"Arthur, J.C.","Arthur, J.C.",0.0
646,Arzolla,F.A.R.D.P.,,,,,,,"Arzolla, F.A.R.D.P.",2,http://id.snsb.info/snsb/collection/667473/726054/373708,8806,"Arzolla, F.A.R.D.P.","Arzolla, F.A.R.D.P.",0.0
652,Asahina,Y.,,,,,,,"Asahina, Y.",1,https://herbarium.bgbm.org/object/B600325479,9021,"Asahina, Y.","Asahina, Y.",0.0
654,Asanza,M.,,,,,,,"Asanza, M.",1,http://id.snsb.info/snsb/collection/676967/738374/383733,17848,"Asanza, M.","Asanza, M.",0.0
657,Aschenborn,A.,,,,,,,"Aschenborn, A.",36,https://je.jacq.org/JE00001000,554,"Aschenborn, A.","Aschenborn, A.",0.0
660,Ascherson,P.F.A.,,,,,,,"Ascherson, P.F.A.",16,http://id.snsb.info/snsb/collection/665259/723627/371385,8168,"Ascherson, P.F.A.","Ascherson, P.F.A.",0.0
664,Asensi,A.,,,,,,,"Asensi, A.",1,https://herbarium.bgbm.org/object/B101206042,345,"Asensi, A.","Asensi, A.",0.0
667,Ashby,A.M.,,,,,,,"Ashby, A.M.",1,https://herbarium.bgbm.org/object/B100127229,19401,"Ashby, A.M.","Ashby, A.M.",0.0
671,Asonganyi,J.N.,,,,,,,"Asonganyi, J.N.",1,https://herbarium.bgbm.org/object/B180006570,13931,"Asonganyi, J.N.","Asonganyi, J.N.",0.0
672,Asplund,E.,,,,,,,"Asplund, E.",103,https://je.jacq.org/JE04007788,2965,"Asplund, E.","Asplund, E.",0.0
674,Assadi,M.,,,,,,,"Assadi, M.",28,http://id.snsb.info/snsb/collection/468868/575171/247820,3446,"Assadi, M.","Assadi, M.",0.0
682,Atasrip,,,,,,,,Atasrip,2,https://herbarium.bgbm.org/object/B100272891,8705,Atasrip,Atasrip,0.0
685,Athanasiou,K.,,,,,,,"Athanasiou, K.",12,https://herbarium.bgbm.org/object/B100468830,18232,"Athanasiou, K.","Athanasiou, K.",0.0
687,Atkins,S.,,,,,,,"Atkins, S.",1,https://herbarium.bgbm.org/object/B100603416,8610,"Atkins, S.","Atkins, S.",0.0
688,Atkinson,G.F.,,,,,,,"Atkinson, G.F.",1,https://herbarium.bgbm.org/object/B200220411,12134,"Atkinson, G.F.","Atkinson, G.F.",0.0
693,Attar,F.,,,,,,,"Attar, F.",4,http://id.snsb.info/snsb/collection/468874/575177/247826,16809,"Attar, F.","Attar, F.",0.0
695,Atwood,J.T.,,,,,,,"Atwood, J.T.",2,https://herbarium.bgbm.org/object/B100146141,7158,"Atwood, J.T.","Atwood, J.T.",0.0
696,Atwood,N.D.,,,,,,,"Atwood, N.D.",8,https://herbarium.bgbm.org/object/B100249875,2178,"Atwood, N.D.","Atwood, N.D.",0.0
700,Aublet,J.B.C.F.,,,,,,,"Aublet, J.B.C.F.",4,http://id.snsb.info/snsb/collection/463877/565216/242724,8459,"Aublet, J.B.C.F.","Aublet, J.B.C.F.",0.0
703,Aubréville,A.,,,,,,,"Aubréville, A.",1,https://herbarium.bgbm.org/object/B100325367,5567,"Aubréville, A.","Aubréville, A.",0.0
706,Aucher-Éloy,P.M.R.,,,,,,,"Aucher-Éloy, P.M.R.",1,https://herbarium.bgbm.org/object/B100279440,5394,"Aucher-Éloy, P.M.R.","Aucher-Éloy, P.M.R.",0.0
707,Audibert,U.,,,,,,,"Audibert, U.",1,https://herbarium.bgbm.org/object/B200077516,11595,"Audibert, U.","Audibert, U.",0.0
710,Auerswald,B.,,,,,,,"Auerswald, B.",20,https://dr.jacq.org/DR048893,909,"Auerswald, B.","Auerswald, B.",0.0
21,Auerswald,Bernhard,,,,,,,"Auerswald, Bernhard",2,https://dr.jacq.org/DR022081,472,"Auerswald, Bernhard","Auerswald, Bernhard",0.0
720,Aunier,J.J.N.A.,,,,,,,"Aunier, J.J.N.A.",1,https://je.jacq.org/JE00018057,8102,"Aunier, J.J.N.A.","Aunier, J.J.N.A.",0.0
722,Auquier,P.H.,,,,,,,"Auquier, P.H.",3,http://id.snsb.info/snsb/collection/462791/563949/241631,10995,"Auquier, P.H.","Auquier, P.H.",0.0
