recordedBy	occurrenceID_count	occurrenceID_first
Acosta,L.	30	https://herbarium.bgbm.org/object/B101147158
Acosta,L. & Alfaro,E.	4	https://herbarium.bgbm.org/object/B200211365
Acosta,L. & Blanco,J.	45	https://herbarium.bgbm.org/object/B101112187
Acosta,L. & Castillo,D.	8	https://herbarium.bgbm.org/object/B101153768
Acosta,L. & Diego Vargas,L.	4	https://herbarium.bgbm.org/object/B101141392
Acosta,L. & Lizano,G.	16	https://herbarium.bgbm.org/object/B101144308
Acosta,L. & Mata,J.	2	https://herbarium.bgbm.org/object/B101141525
Acosta,L. & Ramírez,V.	2	https://herbarium.bgbm.org/object/B101141121
Acosta,L. & Ramírez,V. [Victor]	17	https://herbarium.bgbm.org/object/B200220086
Acosta,L. & Solano,F.	2	https://herbarium.bgbm.org/object/B101141842
Acosta,L. & Soto,G.	5	https://herbarium.bgbm.org/object/B101145561
Acosta,L. & Umaña,L.	4	https://herbarium.bgbm.org/object/B101148072
Acosta,L. & Villalobos,G.	60	https://herbarium.bgbm.org/object/B101153984
Acosta,L., Castillo,D. & Calderón Solis,M.	4	https://herbarium.bgbm.org/object/B101141711
Acosta,L., Castillo,D. & Villalobos,G.	16	https://herbarium.bgbm.org/object/B101152828
Acosta,L., Castillo,D., Umaña,L. & Chaves,J.L.	2	https://herbarium.bgbm.org/object/B101152127
Acosta,L., Diego Vargas,L. & Villalobos,G.	93	https://herbarium.bgbm.org/object/B101112051
Acosta,L., Diego Vargas,L., Rosales,K. & Villalobos,G.	2	https://herbarium.bgbm.org/object/B101148442
Acosta,L., Diego Vargas,L., Villalobos,G. & Blanco,J.	16	https://herbarium.bgbm.org/object/B101144858
Acosta,L., Diego Vargas,L., Villalobos,G. & Rosales,K.	4	https://herbarium.bgbm.org/object/B101142616
Acosta,L., Diego Vargas,L., Villalobos,G. & Solano,F.	45	https://herbarium.bgbm.org/object/B101142698
Acosta,L., Jiménez,G. & Soto,A.	1	https://herbarium.bgbm.org/object/B101144479
Acosta,L., Ramirez,V. [Vanessa] & Soto,G.	2	https://herbarium.bgbm.org/object/B101152389
Acosta,L., Ramírez,V. Gerardo,S. & Sancho,G.	1	https://herbarium.bgbm.org/object/B101141128
Acosta,L., Ramírez,V. [Victor], Mora,E. [Edgar], Soto,G. & Sancho,G.	1	https://herbarium.bgbm.org/object/B101143055
Acosta,L., Ramírez,V. [Victor], Sancho,G. & Soto,G.	1	https://herbarium.bgbm.org/object/B101152094
Acosta,L., Ramírez,V. [Victor], Soto,G. & Sancho,G.	15	https://herbarium.bgbm.org/object/B101112651
Acosta,L., Ramírez,V., Soto,G. & Sancho,G.	1	https://herbarium.bgbm.org/object/B101144481
Acosta,L., Sancho,G. & Soto,G.	1	https://herbarium.bgbm.org/object/B101112694
Acosta,L., Sancho,G., Soto,G. & Ramírez,V. [Victor]	7	https://herbarium.bgbm.org/object/B101141077
Acosta,L., Soto,G. & Mora,E. [Edgar]	1	https://herbarium.bgbm.org/object/B101137857
Acosta,L., Soto,G. & Sancho,G.	3	https://herbarium.bgbm.org/object/B101141115
Acosta,L., Soto,G., Sancho,G. & Ramiírez,V.	10	https://herbarium.bgbm.org/object/B101144487
Acosta,L., Soto,G., Sancho,G. & Ramírez,V. [Victor]	1	https://herbarium.bgbm.org/object/B101159075
Acosta,L., Vargas,L.D. , Ramírez,V.H. & Vargas,G.	1	https://herbarium.bgbm.org/object/B101143089
Acosta,L., Villalobos,G. & Blanco,J.	1	https://herbarium.bgbm.org/object/B101141733
Acosta,L., Villalobos,G. & Castillo,D.	12	https://herbarium.bgbm.org/object/B101152859
Acosta,L., Villalobos,G. & González Brenes,F.A.	3	https://herbarium.bgbm.org/object/B101137925
Acosta,L., Villalobos,G. & Solano,F.	26	https://herbarium.bgbm.org/object/B101147567
Acosta,Z. & Gómez,J.L.	1	https://herbarium.bgbm.org/object/B101057451
Acuña,J.	1	https://je.jacq.org/JE04008451
Adam, J.-G. (no. 26136)	1	http://id.snsb.info/snsb/collection/500135/621354/278938
Adam, J.G. (no. 25607)	1	http://id.snsb.info/snsb/collection/17099/25878/16919
Adam,J.G.	18	https://herbarium.bgbm.org/object/B100005552
Adames,P.	2	https://herbarium.bgbm.org/object/B100134438
Adamovic	2	https://herbarium.bgbm.org/object/B100241239
Adamovic, L.	2	http://id.snsb.info/snsb/collection/665325/723693/371451
Adamovic,L.	10	https://herbarium.bgbm.org/object/B100241004
Adamović	6	https://dr.jacq.org/DR048406
Adamović,L.	36	https://je.jacq.org/JE00017664
Adamovič, L.	3	http://id.snsb.info/snsb/collection/464847/566421/243693
Adams	3	https://herbarium.bgbm.org/object/B100127197
Adams, C.D. (no. 6969)	1	http://id.snsb.info/snsb/collection/25541/34319/25105
Adams, C.D. (no. 7918)	1	http://id.snsb.info/snsb/collection/502232/623466/281022
Adams, C.D. (no. 7995)	1	http://id.snsb.info/snsb/collection/501756/622990/280546
Adams, C.D. (no. 9129)	1	http://id.snsb.info/snsb/collection/494733/609883/276562
Adams, C.D. (no. 9287)	1	http://id.snsb.info/snsb/collection/501749/622983/280539
Adams, C.D. (no. 9387)	2	http://id.snsb.info/snsb/collection/501750/622984/280540
Adams,C.	1	https://herbarium.bgbm.org/object/B101186228
Adams,J.G.	1	https://herbarium.bgbm.org/object/B100168531
Adams,L.G.	3	https://herbarium.bgbm.org/object/B101097794
Adams,L.G. & Richardson,P.	2	https://herbarium.bgbm.org/object/B100365285
Adamson,G.	1	https://herbarium.bgbm.org/object/B100168972
Adamson,J.	1	https://herbarium.bgbm.org/object/B100057312
Adamson,T.	3	https://herbarium.bgbm.org/object/B100154004
Adderley, L.S.	4	http://id.snsb.info/snsb/collection/642070/697914/347835
Ade, A.	2	http://id.snsb.info/snsb/collection/513255/635847/292856
Ade,A.	2	https://je.jacq.org/JE04004524
Adebowale,A. & Balkwill,K. & D.A.McCallum	1	https://herbarium.bgbm.org/object/B101031537
Adekunle,A.O.	1	https://herbarium.bgbm.org/object/B100068932
Adendorff	1	https://herbarium.bgbm.org/object/B100457987
Adendorff, J. (no. 1)	1	http://id.snsb.info/snsb/collection/644379/699098/349980
Adendorff, J. (no. 24)	1	http://id.snsb.info/snsb/collection/644380/699099/349981
Adendorff, J. (no. 3)	1	http://id.snsb.info/snsb/collection/644381/699100/349982
Adendorff, J. (no. 31)	1	http://id.snsb.info/snsb/collection/644372/699091/349973
Adendorff, J. (no. 38)	1	http://id.snsb.info/snsb/collection/644382/699101/349983
Adenesch	1	https://je.jacq.org/JE00020460
Adjaroff,N.	2	https://herbarium.bgbm.org/object/B180013057
Adjoroff,N.	1	https://herbarium.bgbm.org/object/B180011706
Adler,B. & Adler,J.	8	https://herbarium.bgbm.org/object/B100612109
Adler,P.	1	https://dr.jacq.org/DR081321
Adler,W.	6	https://herbarium.bgbm.org/object/B101191388
Adlung	1	https://herbarium.bgbm.org/object/B180004878
Adolphi,K.	3	https://herbarium.bgbm.org/object/B100463717
Advaita,M.K.	2	https://herbarium.bgbm.org/object/B600325491
Aeberhard,H.	9	https://herbarium.bgbm.org/object/B700008470
Aedo,C.	4	https://je.jacq.org/JE00012293
Aedo,C. & Medina,L.	1	https://herbarium.bgbm.org/object/B101167845
Aedo,C. et al.	15	https://herbarium.bgbm.org/object/B101135632
Aedo,C., Aizpuru,I., Aldasoro,J.J., Castroviejo,S., Güemes,J., Herrero,A., Muñoz Garmendia,J.F., Nisa, S., Pedrol, J. & al.	3	https://herbarium.bgbm.org/object/B101167841
Aedo,C., Castroviejo,S., Pedrol,J. & Rico,V.	4	https://herbarium.bgbm.org/object/B101042635
Aedo,C., Ferrero,L.M. & Medina,L.	1	https://herbarium.bgbm.org/object/B101160608
Aedo,C., Güemes,J., Muñoz Garmendia,F., Pedrol,J., Rico,E. & Sequeira,M.	1	https://herbarium.bgbm.org/object/B101037507
Aedo,C., Medina,L. & Baonza,J.	1	https://herbarium.bgbm.org/object/B101167868
Aedo,C., Medina,L. & Molina,C.	2	https://herbarium.bgbm.org/object/B101167844
Aedo,C., Medina,L., Molina,C. & Muñoz,J.	1	https://herbarium.bgbm.org/object/B101167853
