source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
A. Borzée in Christ in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Borzée in Christ in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Borzée in Christ in F. Crépin<SEP>	cleaned_0index:1
A. Ch.	A. Ch.	parsed:A. Ch.		cleaned_0index:0
A. Chevalier, [mis]. l. Corbière				cleaned_0index:0
A. Colinet in J.-L. De Sloover in Herbier de l'Unité d' Ecologie et de Biogéographie (UCL)	A. Colinet in J.-L. De Sloover in Herbier de l'Unité d' Ecologie	parsed:A. Colinet in J.-L. De Sloover in Herbier de l'Unité d' Ecologie<SEP>de Biogéographie	cleaned:<SEP>de Biogéographie	cleaned_0index:0
A. D[] in Christ in F. Crépin - Herbarium Rosarum	A. D	parsed:A. D		cleaned_0index:0
A. De [Frin]	A. De	parsed:A. De		cleaned_0index:0
A. De [Preiy]	A. De	parsed:A. De		cleaned_0index:0
A. De[Prins]	A. De	parsed:A. De		cleaned_0index:0
A. Delavay in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Delavay in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Delavay in F. Crépin<SEP>	cleaned_0index:1
A. Devos in Herbier []. Lambert	A. Devos in Herbier	parsed:A. Devos in Herbier		cleaned_0index:0
A. Devos, [Th DJ]				cleaned_0index:0
A. Dr. Wight				cleaned_0index:0
A. Fernandes, R. Fernandes & J . Matos				cleaned_0index:0
A. Fiori in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Fiori in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Fiori in F. Crépin<SEP>	cleaned_0index:1
A. Franchet in Boreau in F. crépin - Herbarium rosarum				cleaned_0index:0
A. G[]iou	A. G	parsed:A. G		cleaned_0index:0
A. G[]ziou	A. G	parsed:A. G		cleaned_0index:0
A. Gentry, R. Ortiz & students of San Marcos MS course				cleaned_0index:0
A. H[oyeau]	A. H	parsed:A. H		cleaned_0index:0
A. Hamel el L. -J. Coulombe				cleaned_0index:0
A. Hardy & Labouller in Unité d'Ecologie et de Biogéographie (UCL)				cleaned_0index:0
A. Hoyeau in Cercle des Botanistes de Liège	A. Hoyeau in Cercle des Botanistes de Liège	parsed:A. Hoyeau in Cercle des Botanistes de Liège		cleaned_0index:0
A. Jardim & L. D'estre P.	L. D'estre P.	parsed:A. Jardim<SEP>L. D'estre P.	cleaned:A. Jardim<SEP>	cleaned_0index:1
A. Jasiewicz et. H. Piękoś				cleaned_0index:0
A. Jullien in A. Déséglise in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Jullien in A. Déséglise in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Jullien F. Crépin<SEP>	cleaned_0index:1
A. Kanitz in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Kanitz in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Kanitz in F. Crépin<SEP>	cleaned_0index:1
A. Kurtto e.a.				cleaned_0index:0
A. L[]	A. L	parsed:A. L		cleaned_0index:0
A. L[]e	A. L	parsed:A. L		cleaned_0index:0
A. L[]ee	A. L	parsed:A. L		cleaned_0index:0
A. L[]g	A. L	parsed:A. L		cleaned_0index:0
A. La[]	A. La	parsed:A. La		cleaned_0index:0
A. La[]e	A. La	parsed:A. La		cleaned_0index:0
A. La[]lrée	A. La	parsed:A. La		cleaned_0index:0
A. La[]ée	A. La	parsed:A. La		cleaned_0index:0
A. La[rcio]	A. La	parsed:A. La		cleaned_0index:0
A. Le[]	A. Le	parsed:A. Le		cleaned_0index:0
A. Le[tieviz]	A. Le	parsed:A. Le		cleaned_0index:0
A. Le[y] & E. [F. Lintar]	A. Le	parsed:A. Le		cleaned_0index:0
A. Morel in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Morel in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Morel in F. Crépin<SEP>	cleaned_0index:1
A. N	A. N	parsed:A. N		cleaned_0index:0
A. N[]nck	A. N	parsed:A. N		cleaned_0index:0
A. No[he]	A. No	parsed:A. No		cleaned_0index:0
A. P[]	A. P	parsed:A. P		cleaned_0index:0
A. Pacyna & Biology Students	Biology Students	parsed:A. Pacyna<SEP>Biology Students	cleaned:A. Pacyna<SEP>	cleaned_0index:1
A. Pacyna and Biology Students	Biology Students	parsed:A. Pacyna<SEP>Biology Students	cleaned:A. Pacyna<SEP>	cleaned_0index:1
A. Prof. Bertoloni				cleaned_0index:0
A. Préaux in Charles Baguet in Instituti Carnoy	A. Préaux in Charles Baguet in Instituti Carnoy	parsed:A. Préaux in Charles Baguet in Instituti Carnoy		cleaned_0index:0
A. R	A. R	parsed:A. R		cleaned_0index:0
A. R.	A. R.	parsed:A. R.		cleaned_0index:0
A. R[]	A. R	parsed:A. R		cleaned_0index:0
A. R[ac][]	A. R	parsed:A. R		cleaned_0index:0
A. R[aesdonk]	A. R	parsed:A. R		cleaned_0index:0
A. R[oc][]	A. R	parsed:A. R		cleaned_0index:0
A. Richter in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Richter in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Richter in F. Crépin<SEP>	cleaned_0index:1
A. Rocheff, C.E. Dr. Wilderman				cleaned_0index:0
A. Roso-Craig & JR Sealy				cleaned_0index:0
A. S[]	A. S	parsed:A. S		cleaned_0index:0
A. Sanitange in F. Crépin - Herbarium rosarum	Herbarium rosarum	parsed:A.Sanitange in F. Crépin<SEP>Herbarium rosarum	cleaned:A. Sanitange in F. Crépin<SEP>	cleaned_0index:1
A. Sharpe Esq. C.B.				cleaned_0index:0
A. Socin in Christ in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Socin in Christ in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Socin in Christ in F. Crépin<SEP>	cleaned_0index:1
A. Somerville, B.Sc.	B. Sc.	parsed:A. Somerville<SEP>B. Sc.	cleaned:A. Somerville<SEP>	cleaned_0index:1
A. Tocheff, [C.E.D. Wildimoen]				cleaned_0index:0
A. Todari in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Todari in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Todari in F. Crépin<SEP>	cleaned_0index:1
A. Trich in V. d'Ansembourg				cleaned_0index:0
A. Vayreda in F. Crépin - H>erbarium Rosarum	Herbarium Rosarum	parsed:A.Vayreda in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Vayreda in F. Crépin<SEP>	cleaned_0index:1
A. Videl, [R.] F[onillade]				cleaned_0index:0
A. W[]mael	A. W	parsed:A. W		cleaned_0index:0
A. Z	A. Z	parsed:A. Z		cleaned_0index:0
A. [B].				cleaned_0index:0
A. [R]. Valente				cleaned_0index:0
A. de F	A. de F	parsed:A. de F		cleaned_0index:0
A. de L.	A. de L.	parsed:A. de L.		cleaned_0index:0
A. de [Lairisse]	A. de	parsed:A. de		cleaned_0index:0
A. de [Maenlennere]	A. de	parsed:A. de		cleaned_0index:0
A. de [T]	A. de	parsed:A. de		cleaned_0index:0
A. de[]	A. de	parsed:A. de		cleaned_0index:0
A. vd B	A. vd B	parsed:A. vd B		cleaned_0index:0
A., P.M. & X. Uribe-Echebarria, P.M.				cleaned_0index:0
A.,P.M.& X. Uribe-Echebarría	P.M. A.	parsed:P.M. A.<SEP>X. Uribe-Echebarría	cleaned:<SEP>X. Uribe-Echebarría	cleaned_0index:0
A.A. & D.E. Beetle, Howard Schoof				cleaned_0index:0
A.B. Dr. Forster				cleaned_0index:0
A.B. in Christ in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.B. in Christ in F. Crépin<SEP>Herbarium Rosarum	cleaned:A.B. in Christ in F. Crépin<SEP>	cleaned_0index:1
A.B. in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.B. in F. Crépin<SEP>Herbarium Rosarum	cleaned:A.B. in F. Crépin<SEP>	cleaned_0index:1
A.B[oreau] in Christ in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.B. in Christ in F. Crépin<SEP>Herbarium Rosarum	cleaned:A.B. in Christ in F. Crépin<SEP>	cleaned_0index:1
A.Br.	A. Br.	parsed:A. Br.		cleaned_0index:0
A.C. Costa in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.C.Costa in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. C. Costa in F. Crépin<SEP>	cleaned_0index:1
A.C. Costae in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.C.Costae in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. C. Costae in F. Crépin<SEP>	cleaned_0index:1
A.C. Gr.	A.C. Gr.	parsed:A.C. Gr.		cleaned_0index:0
A.C. Hexamer & F.W. Maier, MM.DD.	MM. DD.	parsed:A.C. Hexamer<SEP>F.W. Maier<SEP>MM. DD.	cleaned:A.C. Hexamer<SEP>F.W. Maier<SEP>	cleaned_0index:2
A.F. S. [Kavr]	A.F. S.	parsed:A.F. S.		cleaned_0index:0
A.H. & V.F. Brotherus in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.H. Brotherus<SEP>V.F. Brotherus<SEP>in F. Crépin<SEP>Herbarium Rosarum	cleaned:A.H. Brotherus<SEP>V.F. Brotherus<SEP>In F. Crépin<SEP>	cleaned_0index:3
A.H. & V.F.B. in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.H. in<SEP>V.F.B. in<SEP>F. Crépin<SEP>Herbarium Rosarum	cleaned:A.H. In<SEP>V.F.B. In<SEP>F. Crépin<SEP>	cleaned_0index:3
A.H. B.	A.H. B.	parsed:A.H. B.		cleaned_0index:0
A.J.C. in Boreau in F. Crépin - Herbarium rosarum	Herbarium rosarum	parsed:A.J.C. in Boreau in F. Crépin<SEP>Herbarium rosarum	cleaned:A.J.C. in Boreau in F. Crépin<SEP>	cleaned_0index:1
A.O. H.	A.O. H.	parsed:A.O. H.		cleaned_0index:0
A.P. Winslow in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.P.Winslow in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. P. Winslow in F. Crépin<SEP>	cleaned_0index:1
A.R. in F. Crépin - herbarium Rosarum	herbarium Rosarum	parsed:A.R. in F. Crépin<SEP>herbarium Rosarum	cleaned:A.R. in F. Crépin<SEP>	cleaned_0index:1
A.S. Gardener	A.S. Gardener	parsed:A.S. Gardener		cleaned_0index:0
A.S. Gardener & M Fisher	A.S. Gardener	parsed:A.S. Gardener<SEP>M. Fisher	cleaned:<SEP>M. Fisher	cleaned_0index:0
A.S. Gardener & S. Farooq	A.S. Gardener	parsed:A.S. Gardener<SEP>S. Farooq	cleaned:<SEP>S. Farooq	cleaned_0index:0
A.S. H.	A.S. H.	parsed:A.S. H.		cleaned_0index:0
A.T. de M[o]rais				cleaned_0index:0
A.TodarI in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.TodarI in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. TodarI in F. Crépin<SEP>	cleaned_0index:1
A.[Chabéne] in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A. in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. in F. Crépin<SEP>	cleaned_0index:1
AA				cleaned_0index:0
AB				cleaned_0index:0
ABaillot	ABaillot	parsed:ABaillot		cleaned_0index:0
ABeck	ABeck	parsed:ABeck		cleaned_0index:0
ABecke	ABecke	parsed:ABecke		cleaned_0index:0
ABecre	ABecre	parsed:ABecre		cleaned_0index:0
ABeneschi	ABeneschi	parsed:ABeneschi		cleaned_0index:0
ABlol	ABlol	parsed:ABlol		cleaned_0index:0
ABunge	ABunge	parsed:ABunge		cleaned_0index:0
AC				cleaned_0index:0
ACenie	ACenie	parsed:ACenie		cleaned_0index:0
ACuz	ACuz	parsed:ACuz		cleaned_0index:0
AD				cleaned_0index:0
ADelf	ADelf	parsed:ADelf		cleaned_0index:0
ADeopenkolb	ADeopenkolb	parsed:ADeopenkolb		cleaned_0index:0
ADothm	ADothm	parsed:ADothm		cleaned_0index:0
AEPugles	AEPugles	parsed:AEPugles		cleaned_0index:0
AF				cleaned_0index:0
AFoueand	AFoueand	parsed:AFoueand		cleaned_0index:0
AFranz	AFranz	parsed:AFranz		cleaned_0index:0
AGauctin	AGauctin	parsed:AGauctin		cleaned_0index:0
AGh	AGh	parsed:AGh		cleaned_0index:0
AGunerf	AGunerf	parsed:AGunerf		cleaned_0index:0
AH				cleaned_0index:0
AHK				cleaned_0index:0
AHes	AHes	parsed:AHes		cleaned_0index:0
AHlvay	AHlvay	parsed:AHlvay		cleaned_0index:0
AKessemantt	AKessemantt	parsed:AKessemantt		cleaned_0index:0
AKranz	AKranz	parsed:AKranz		cleaned_0index:0
AL				cleaned_0index:0
ALS				cleaned_0index:0
ALetourneux	ALetourneux	parsed:ALetourneux		cleaned_0index:0
ALinae	ALinae	parsed:ALinae		cleaned_0index:0
ALongo	ALongo	parsed:ALongo		cleaned_0index:0
ALux	ALux	parsed:ALux		cleaned_0index:0
AM				cleaned_0index:0
AN				cleaned_0index:0
ANlemtin	ANlemtin	parsed:ANlemtin		cleaned_0index:0
AP				cleaned_0index:0
APIAC				cleaned_0index:0
ARothms	ARothms	parsed:ARothms		cleaned_0index:0
ARukimo	ARukimo	parsed:ARukimo		cleaned_0index:0
ARusland	ARusland	parsed:ARusland		cleaned_0index:0
AS				cleaned_0index:0
ASchumacher	ASchumacher	parsed:ASchumacher		cleaned_0index:0
ASecri	ASecri	parsed:ASecri		cleaned_0index:0
ASeegreg	ASeegreg	parsed:ASeegreg		cleaned_0index:0
AVDHangls	AVDHangls	parsed:AVDHangls		cleaned_0index:0
AValon	AValon	parsed:AValon		cleaned_0index:0
AVirans	AVirans	parsed:AVirans		cleaned_0index:0
AViranz	AViranz	parsed:AViranz		cleaned_0index:0
AVranz	AVranz	parsed:AVranz		cleaned_0index:0
AW				cleaned_0index:0
AWal[raven]	AWal	parsed:AWal		cleaned_0index:0
AWalcana	AWalcana	parsed:AWalcana		cleaned_0index:0
AWariouy	AWariouy	parsed:AWariouy		cleaned_0index:0
